second,temp,o2,filt_o2,pressure,filt_press,fuel,fan,error
0,1450.061647370813,2.766510687285594,2.666740699611327,-2.9229492562312447,-2.558011049723757,17.938152792958174,900.0081534821169,0.061647370813034286
1,1450.093068835694,2.733513912791645,2.70243449304253,-2.86047808800376,-2.690580177025035,17.938152792958174,900.0081534821169,0.09306883569411184
2,1450.075157351298,2.709736337349895,2.7106447648042984,-2.806295859241573,-2.7369846412052747,17.938152792958174,900.0081534821169,0.07515735129800305
3,1450.053379607916,2.6624360754080176,2.7104542230787594,-2.7501298804781324,-2.752383661005284,17.938152792958174,900.0081534821169,0.053379607915985616
4,1449.997596206669,2.6395780607066364,2.7020877586416687,-2.7116867806897473,-2.7519552886188996,17.938152792958174,900.0081534821169,0.0024037933310410153
5,1449.941313245055,2.612342386662892,2.69275583247071,-2.6521070316139532,-2.745172201564167,17.938152792958174,900.0081534821169,0.05868675494502895
6,1449.957043607512,2.5897151468984956,2.6822344458341925,-2.6178951756613102,-2.7309126118746896,17.938152792958174,900.0081534821169,0.042956392487894846
7,1450.0318316720754,2.564094117343906,2.671439396789398,-2.58740164097386,-2.714845803459661,17.938152792958174,900.0081534821169,0.03183167207544102
8,1449.9836919723589,2.531994848635037,2.6601156804920874,-2.5538348463069265,-2.697775186990749,17.938152792958174,900.0081534821169,0.016308027641116496
9,1449.9922581556223,2.4923711036428156,2.647759147252067,-2.5210350671525936,-2.679388391538567,17.938152792958174,900.0081534821169,0.007741844377733287
10,1449.9809009534404,2.475923765764985,2.633929671759723,-2.4858264934592675,-2.6599123763149923,17.876305584940738,900.014917390172,0.01909904655963146
11,1450.023867719901,2.4513352025462622,2.6208501242312674,-2.4758316412294894,-2.6391398184992934,17.876305584940738,900.014917390172,0.023867719901090823
12,1450.009142297825,2.417473273503972,2.6077101194605867,-2.448598683515755,-2.6201192972880016,17.876305584940738,900.014917390172,0.009142297825064816
13,1450.0470681474394,2.408957163688485,2.593820103535408,-2.433914583428565,-2.600525304425472,17.876305584940738,900.014917390172,0.04706814743940413
14,1450.0867620431616,2.3916331311638928,2.581040453261978,-2.422165214634651,-2.581784696380117,17.876305584940738,900.014917390172,0.08676204316157055
15,1450.03957841315,2.376363088072221,2.568586409509542,-2.4078716756415215,-2.564051543586679,17.876305584940738,900.014917390172,0.039578413149911285
16,1450.0803856568975,2.3772340576476063,2.5565156973934413,-2.381903166125827,-2.5468716451423643,17.876305584940738,900.014917390172,0.08038565689753341
17,1450.142572630317,2.358051778752389,2.5457246732752226,-2.3626151641312783,-2.5288683088532413,17.876305584940738,900.014917390172,0.14257263031709044
18,1450.17611147891,2.361874773775902,2.534861427115793,-2.3489241941136565,-2.5108394909184426,17.876305584940738,900.014917390172,0.17611147890988832
19,1450.0972562799966,2.34688335259125,2.5252031755584796,-2.3351650844285485,-2.4933699385476453,17.876305584940738,900.014917390172,0.09725627999659991
20,1450.077178010926,2.3391722653816522,2.5155739212958124,-2.3256262068472107,-2.4763698510564325,17.814458376897484,900.0470817625111,0.07717801092599075
21,1450.090979543196,2.32324716130354,2.5063380280727703,-2.3227834874548443,-2.4602240138185705,17.814458376897484,900.0470817625111,0.09097954319599921
22,1450.1303756210536,2.318233144233861,2.497022426195687,-2.3174170595178176,-2.445541217799047,17.814458376897484,900.0470817625111,0.13037562105364486
23,1450.0724748141881,2.305055553970492,2.48816398830349,-2.3142362110416834,-2.431882085741948,17.814458376897484,900.0470817625111,0.0724748141881264
24,1450.0637337802948,2.2983944725543104,2.4793123020535743,-2.3013526182659465,-2.4193608422626203,17.814458376897484,900.0470817625111,0.06373378029479682
25,1450.0322821046736,2.285238030640411,2.4707642723171817,-2.306642470257079,-2.406817706294776,17.814458376897484,900.0470817625111,0.03228210467364079
26,1450.0399044239296,2.28095501359118,2.4621827821596614,-2.2989821298431754,-2.39618135091576,17.814458376897484,900.0470817625111,0.03990442392955629
27,1450.0394811584677,2.272095313959499,2.4539640139828975,-2.2877659233132697,-2.3858697464432157,17.814458376897484,900.0470817625111,0.03948115846765177
28,1450.0521791811627,2.2890353337930924,2.4458662052340925,-2.279439316106459,-2.375469244935297,17.814458376897484,900.0470817625111,0.05217918116272813
29,1450.0828919832577,2.268865492803184,2.4390014211047744,-2.2727442575111167,-2.365294138986681,17.814458376897484,900.0470817625111,0.08289198325769576
30,1450.0274461242916,2.2522507360455934,2.431671582738254,-2.2583406749418486,-2.355492031792195,17.752611168860824,900.0770052280154,0.027446124291600427
31,1450.0054228073066,2.267427395710981,2.4240551085769138,-2.2471445616882457,-2.345206150724165,17.752611168860824,900.0770052280154,0.005422807306558752
32,1450.0087921374197,2.2549633940900264,2.417497016611905,-2.2417278689903704,-2.334826784590467,17.752611168860824,900.0770052280154,0.008792137419732171
33,1450.0714146393093,2.2528656782614154,2.4107781933075105,-2.2483724440486355,-2.32497488487924,17.752611168860824,900.0770052280154,0.07141463930929604
34,1450.0228002821539,2.242919191615048,2.4043277200294355,-2.25169781581058,-2.316870113714842,17.752611168860824,900.0770052280154,0.022800282153866647
35,1450.0308069287325,2.2497398677535805,2.397807183680045,-2.2446503579243275,-2.3099756667443168,17.752611168860824,900.0770052280154,0.030806928732545202
36,1449.978607187327,2.2509949221732266,2.3918870766883273,-2.2378498804252667,-2.3030658187822173,17.752611168860824,900.0770052280154,0.021392812672957007
37,1449.9930834420927,2.247349582464026,2.3863077840546953,-2.228977637129051,-2.296168166837926,17.752611168860824,900.0770052280154,0.006916557907288734
38,1449.9651268081686,2.2432341587424145,2.3808541569486055,-2.232842581539665,-2.2890621863429113,17.752611168860824,900.0770052280154,0.03487319183136606
39,1449.9920046769657,2.2417331544397125,2.3754979331557013,-2.2109392427184185,-2.2831168219575324,17.752611168860824,900.0770052280154,0.007995323034265311
40,1449.9597912304218,2.243448516819787,2.3703320649618274,-2.219207237443046,-2.27548421670026,17.690763960957128,900.0869128310891,0.040208769578157444
41,1450.0362723596274,2.2413525502258556,2.3654672927254388,-2.2074287716298473,-2.2695332829633177,17.690763960957128,900.0869128310891,0.03627235962744635
42,1450.0042482754645,2.227700600056103,2.360740663680369,-2.208690359020093,-2.262966319999781,17.690763960957128,900.0869128310891,0.004248275464533435
43,1450.0379431350536,2.225647047276011,2.3557058662630124,-2.2081672714448555,-2.2572272884996507,17.690763960957128,900.0869128310891,0.03794313505363789
44,1450.1473584487935,2.23482229570986,2.3508126160009684,-2.2067871604044167,-2.2520398791588327,17.690763960957128,900.0869128310891,0.14735844879351134
45,1450.167263122841,2.220468791311111,2.3464724008457982,-2.199395856602259,-2.2472551110587378,17.690763960957128,900.0869128310891,0.16726312284095002
46,1450.1649520542553,2.222506205836552,2.3417813917611796,-2.2010924713608424,-2.2421948040947375,17.690763960957128,900.0869128310891,0.16495205425530912
47,1450.1998131758132,2.202166168336688,2.3373618428318506,-2.208886108349543,-2.2378489696442947,17.690763960957128,900.0869128310891,0.1998131758132331
48,1450.215828096048,2.185474778903203,2.3323744262945625,-2.2054446044262783,-2.2347866903868088,17.690763960957128,900.0869128310891,0.21582809604797148
49,1450.1707015722573,2.183563561949467,2.326977463552716,-2.213260711962835,-2.231684334541007,17.690763960957128,900.0869128310891,0.1707015722572578
50,1450.2134554259726,2.1858251879333905,2.3217286927877674,-2.208028261033825,-2.2297364038849192,17.6289167529127,900.1376190587214,0.21345542597259737
51,1450.2346043290688,2.173006677075331,2.3167724995989563,-2.2205724764185146,-2.227441209849634,17.6289167529127,900.1376190587214,0.2346043290688158
52,1450.2806267047663,2.208702877256711,2.3115469713602415,-2.2131790152578663,-2.2267149834777586,17.6289167529127,900.1376190587214,0.28062670476629137
53,1450.3115818167757,2.2107272054109584,2.307820400285055,-2.201992532757361,-2.2252838386871114,17.6289167529127,900.1376190587214,0.3115818167757425
54,1450.315446254835,2.2037833626782892,2.304312347295879,-2.208975976020618,-2.2228212765154756,17.6289167529127,900.1376190587214,0.31544625483502386
55,1450.251510899524,2.1808673758674515,2.30068990503022,-2.1845217223430318,-2.2213574316863327,17.6289167529127,900.1376190587214,0.2515108995239643
56,1450.2089799107994,2.1885909294201698,2.2963830409948995,-2.189900799929178,-2.2174628472048004,17.6289167529127,900.1376190587214,0.20897991079937128
57,1450.2182248257238,2.1918664566754633,2.29251762358289,-2.1972785509747803,-2.214548756184103,17.6289167529127,900.1376190587214,0.21822482572383706
58,1450.2441697023376,2.1816825789622603,2.288916117606522,-2.1964532700697657,-2.212722806626773,17.6289167529127,900.1376190587214,0.2441697023375582
59,1450.278856105621,2.1803597507219954,2.285086844751733,-2.216402253300992,-2.2110026572172727,17.6289167529127,900.1376190587214,0.27885610562088914
60,1450.3140737428225,2.176099693585164,2.2813541272632416,-2.2224171050848978,-2.211573546685225,17.567069544871472,900.2131672069139,0.3140737428225293
61,1450.288513353588,2.169852377621985,2.277609205021241,-2.2320246001548028,-2.2127200158938853,17.567069544871472,900.2131672069139,0.28851335358808683
62,1450.325811735116,2.1713016939409515,2.27378152465996,-2.2111983056761875,-2.214761052893709,17.567069544871472,900.2131672069139,0.3258117351160763
63,1450.3070127238832,2.1789675809066105,2.270146843705692,-2.188482638763176,-2.2143843705050528,17.567069544871472,900.2131672069139,0.3070127238831901
64,1450.338577872733,2.1688829845109985,2.266917559622114,-2.1761475894724933,-2.2116458309842852,17.567069544871472,900.2131672069139,0.3385778727329125
65,1450.298164497074,2.1657576454298604,2.263450080231243,-2.18674474782629,-2.2078926718776786,17.567069544871472,900.2131672069139,0.29816449707391257
66,1450.2415176635081,2.150902168102269,2.2599989664496887,-2.18974249602538,-2.2056567438625967,17.567069544871472,900.2131672069139,0.24151766350814796
67,1450.1846432819884,2.1505300964173255,2.256149410112034,-2.194370971194773,-2.2039741622282225,17.567069544871472,900.2131672069139,0.1846432819884285
68,1450.2036986846545,2.148975682052926,2.252426552291981,-2.182592055322854,-2.2029588361135386,17.567069544871472,900.2131672069139,0.20369868465445506
69,1450.1888519328136,2.141394005762687,2.248783767878151,-2.1814031933746114,-2.200805497409413,17.567069544871472,900.2131672069139,0.18885193281357715
70,1450.1398984337563,2.1468012728152566,2.2450058020773738,-2.1811632585436835,-2.198754131006637,17.50522233683637,900.2680972216378,0.13989843375634337
71,1450.16399698122,2.125825962639075,2.2415539667578583,-2.16074435442533,-2.1968942836886622,17.50522233683637,900.2680972216378,0.16399698121995243
72,1450.1448362600165,2.1191302957757365,2.2374894761354756,-2.1604902453236,-2.193072225022906,17.50522233683637,900.2680972216378,0.14483626001651828
73,1450.1176769817046,2.1274778234217164,2.233335703942538,-2.1689584460984657,-2.189627398524884,17.50522233683637,900.2680972216378,0.11767698170456242
74,1450.143422615358,2.130022458332136,2.229623265180031,-2.161853010178306,-2.1874421122407934,17.50522233683637,900.2680972216378,0.14342261535807665
75,1450.1683968037983,2.1237812883201745,2.2261325442338062,-2.172605977868983,-2.184736628597337,17.50522233683637,900.2680972216378,0.1683968037982595
76,1450.145286825902,2.12461179706872,2.2225476116242975,-2.1744119646642863,-2.1834540796215776,17.50522233683637,900.2680972216378,0.1452868259020761
77,1450.189796933946,2.1222143855914513,2.219119278968249,-2.170391141379778,-2.1824980752489664,17.50522233683637,900.2680972216378,0.18979693394589958
78,1450.1911906842263,2.1300906526285868,2.2157288274501967,-2.163912029173096,-2.181218033835847,17.50522233683637,900.2680972216378,0.19119068422628516
79,1450.1865368858828,2.1263679504320607,2.212734044726069,-2.1593891155021234,-2.179388305290666,17.50522233683637,900.2680972216378,0.18653688588278783
80,1450.270793383226,2.131884837060628,2.209715192296473,-2.1610782639043356,-2.1772738317927915,17.443375128798035,900.3224704297713,0.27079338322596413
81,1450.303013568191,2.1190630942334407,2.206995862327915,-2.1736628401459352,-2.175561507479743,17.443375128798035,900.3224704297713,0.3030135681910906
82,1450.2676615840062,2.1252721619190926,2.203924786005388,-2.1689321335705114,-2.1753607652613915,17.443375128798035,900.3224704297713,0.26766158400619133
83,1450.2623222895716,2.118146825455272,2.201178840835386,-2.170063442667548,-2.174681079168104,17.443375128798035,900.3224704297713,0.2623222895715571
84,1450.240311777092,2.114918079972446,2.1982810034659073,-2.1801155713726703,-2.1741928658971665,17.443375128798035,900.3224704297713,0.2403117770920744
85,1450.2205719321341,2.1174971112133307,2.195372554790396,-2.1893236898457897,-2.174819061442632,17.443375128798035,900.3224704297713,0.22057193213413484
86,1450.164804881215,2.119846577999871,2.192656374501045,-2.194276923659539,-2.176352606157589,17.443375128798035,900.3224704297713,0.16480488121510461
87,1450.2243650349162,2.1176378821557043,2.1901175868852034,-2.201302802659773,-2.178247707609018,17.443375128798035,900.3224704297713,0.22436503491621806
88,1450.184795636975,2.1160720042319188,2.187590967886069,-2.1920031920858793,-2.1806852756806725,17.443375128798035,900.3224704297713,0.18479563697496815
89,1450.1522394321416,2.113296282860987,2.18509844548031,-2.1922127319703257,-2.1818818958457054,17.443375128798035,900.3224704297713,0.15223943214164137
90,1450.1688445500333,2.1288755182169896,2.1825966194896598,-2.1870242262158834,-2.182974154029784,17.381527920761382,900.3687823732962,0.16884455003332732
91,1450.1698810372172,2.1244034351766414,2.180725192417775,-2.1805450004726077,-2.1834023598822148,17.381527920761382,900.3687823732962,0.16988103721723746
92,1450.1903340986778,2.116430914163243,2.1787635543825767,-2.180511353408391,-2.183100257113434,17.381527920761382,900.3687823732962,0.19033409867779483
93,1450.1601651445176,2.1261598719177055,2.176592959868386,-2.1669455119101375,-2.1828265376175566,17.381527920761382,900.3687823732962,0.16016514451757757
94,1450.1283571728827,2.1276863607718757,2.1748370401068127,-2.1602589235552014,-2.181147469237753,17.381527920761382,900.3687823732962,0.12835717288271553
95,1450.107851369976,2.121321924937197,2.1731956642357035,-2.171229682953499,-2.1789389660091616,17.381527920761382,900.3687823732962,0.1078513699760606
96,1450.183428917219,2.1227570008256937,2.171390139922497,-2.1805095515817006,-2.1781238792733784,17.381527920761382,900.3687823732962,0.18342891721908927
97,1450.203631929317,2.116858389948736,2.169697641885544,-2.1719483536448068,-2.1783761115289764,17.381527920761382,900.3687823732962,0.20363192931699814
98,1450.1853849683491,2.1353220821739765,2.167859001874918,-2.1867836471799698,-2.1776965178296535,17.381527920761382,900.3687823732962,0.1853849683491262
99,1450.2354258724572,2.14815847078529,2.166726954850895,-2.204351936591726,-2.178657281436833,17.381527920761382,900.3687823732962,0.23542587245719915
100,1450.2378247106465,2.1408792605620635,2.166080979394206,-2.2193176996387174,-2.181373924792334,17.319680712720434,900.4336300996703,0.23782471064646415
101,1450.2326457265897,2.146171325702511,2.1652043327491874,-2.2216327283910577,-2.185385642528646,17.319680712720434,900.4336300996703,0.23264572658968063
102,1450.18816801746,2.150143871974563,2.1645423300674804,-2.218056110575719,-2.189217972807488,17.319680712720434,900.4336300996703,0.18816801745992962
103,1450.1587382850662,2.161573585635038,2.164041570649131,-2.2313090563228686,-2.1922669701522723,17.319680712720434,900.4336300996703,0.15873828506619247
104,1450.1619514946751,2.1608610351055018,2.163955744597583,-2.2126397681463783,-2.196394810098884,17.319680712720434,900.4336300996703,0.16195149467512238
105,1450.201329467496,2.176585632985748,2.1638481321596283,-2.190377698359693,-2.198112356299283,17.319680712720434,900.4336300996703,0.20132946749595249
106,1450.2292847593405,2.1877197258864833,2.164291021370151,-2.1840632768348214,-2.197294586729399,17.319680712720434,900.4336300996703,0.22928475934054404
107,1450.148210761528,2.167068930050177,2.1651055936117634,-2.1741273536473713,-2.195895667386638,17.319680712720434,900.4336300996703,0.14821076152793466
108,1450.1516823695463,2.172145448743869,2.1651738508215583,-2.1782669166312036,-2.1935941480819414,17.319680712720434,900.4336300996703,0.151682369546279
109,1450.1499668573404,2.156014726404785,2.16541621056735,-2.1630924661095947,-2.191973631238348,17.319680712720434,900.4336300996703,0.14996685734035964
110,1450.1469058976552,2.1541192093025314,2.1650893965479767,-2.1615843683331746,-2.188920084699052,17.257833504686644,900.4780437010535,0.1469058976551878
111,1450.1098089382283,2.159346526132671,2.164708070884879,-2.1770817479405715,-2.1860299352976833,17.257833504686644,900.4780437010535,0.10980893822829785
112,1450.1485177745326,2.1470526763256252,2.164521711536478,-2.183422397752066,-2.1850838617436845,17.257833504686644,900.4780437010535,0.14851777453259274
113,1450.1172979728258,2.1509704895345587,2.1639145407907026,-2.1939712473097277,-2.1849081985528445,17.257833504686644,900.4780437010535,0.11729797282578147
114,1450.0698758885642,2.139321968986318,2.1634646634365255,-2.194881559726174,-2.1858664161677916,17.257833504686644,900.4780437010535,0.0698758885641837
115,1450.0789312004376,2.138925553295221,2.1626256037302847,-2.174998750250913,-2.1868195688640446,17.257833504686644,900.4780437010535,0.07893120043763702
116,1450.1097276023472,2.135991710190026,2.161801957409438,-2.1774878880294195,-2.18556977788068,17.257833504686644,900.4780437010535,0.10972760234722045
117,1450.018136984241,2.12965112548997,2.1609050056435692,-2.1839587958544264,-2.184715296190773,17.257833504686644,900.4780437010535,0.0181369842409822
118,1450.0086679758372,2.143036282274158,2.1598189119448965,-2.1997518796672244,-2.1846353129569365,17.257833504686644,900.4780437010535,0.008667975837170161
119,1450.0539429783034,2.1452501911636546,2.1592357210750692,-2.1933546047748886,-2.1862335566481885,17.257833504686644,900.4780437010535,0.053942978303439304
120,1450.0625709770072,2.1347059590639224,2.1587497416892516,-2.194518088356762,-2.186986450507073,17.195986296665062,900.4998483791207,0.06257097700722625
121,1450.0197941239612,2.1199938118546493,2.157914271928851,-2.201871758579142,-2.187782755177885,17.195986296665062,900.4998483791207,0.019794123961219157
122,1450.0794778735592,2.129011075380904,2.1565966484933172,-2.184196098795571,-2.1892723567014056,17.195986296665062,900.4998483791207,0.079477873559199
123,1450.1015186815787,2.120190892612858,2.1556381527404325,-2.184043523218201,-2.188735654331837,17.195986296665062,900.4998483791207,0.10151868157868194
124,1450.0466843938016,2.11849601781587,2.154406517878212,-2.1950496833121935,-2.18823956490263,17.195986296665062,900.4998483791207,0.04668439380156997
