adim,fuel,fan,sicaklik,o2,efficiency
129,15.281,1027.4,1236.38,5.69,0.5283
130,15.252,1030.2,1237.64,5.68,0.5283
131,15.035,1031.2,1239.02,5.699,0.5267
132,15.026,1025.7,1240.54,5.708,0.5256
133,15.193,1020.8,1241.91,5.689,0.526
134,15.232,1026.2,1242.99,5.677,0.5262
135,15.05,1028.6,1244.1,5.692,0.5249
136,15.091,1023.1,1245.3,5.692,0.5244
137,15.055,1022.4,1246.51,5.695,0.5238
138,15.063,1019.6,1247.71,5.694,0.5233
139,15.097,1020.9,1248.8,5.69,0.5231
140,15.046,1023.2,1249.83,5.696,0.5223
141,15.012,1024.8,1250.89,5.706,0.5213
142,15.078,1025.2,1251.9,5.707,0.5209
143,14.897,1028.3,1252.99,5.732,0.5192
144,14.784,1024.7,1254.35,5.76,0.5172
145,14.707,1024.9,1255.94,5.79,0.515
146,14.703,1023.2,1257.69,5.812,0.5132
147,14.593,1021.7,1259.61,5.839,0.5111
148,14.747,1022.3,1261.47,5.842,0.5102
149,14.869,1026.6,1263.07,5.835,0.5099
150,14.945,1023.7,1264.52,5.817,0.5101
151,14.694,1026.8,1266.02,5.837,0.5086
152,14.69,1027.8,1267.56,5.853,0.5072
153,14.794,1033.7,1268.96,5.86,0.5063
154,14.904,1036.5,1270.2,5.856,0.506
155,14.963,1037.6,1271.27,5.847,0.5059
156,14.97,1034.9,1272.24,5.836,0.5061
157,15.153,1038.0,1272.85,5.81,0.507
158,15.176,1042.3,1273.19,5.793,0.5077
159,15.211,1040.4,1273.38,5.774,0.5086
160,15.332,1045.0,1273.27,5.75,0.5098
161,15.073,1039.7,1273.36,5.757,0.5094
162,15.041,1039.5,1273.53,5.766,0.5089
163,15.106,1041.5,1273.63,5.767,0.5088
164,15.036,1045.5,1273.75,5.781,0.5081
165,14.899,1049.4,1274.07,5.812,0.5065
166,14.926,1050.1,1274.55,5.833,0.5053
167,14.74,1046.2,1275.39,5.866,0.5034
168,14.975,1047.4,1276.16,5.864,0.5031
169,14.866,1045.7,1277.04,5.874,0.5023
170,14.771,1045.3,1278.05,5.892,0.5011
171,14.69,1044.9,1279.23,5.915,0.4996
172,14.906,1045.3,1280.3,5.906,0.4995
173,14.865,1047.4,1281.24,5.908,0.499
174,14.916,1045.4,1282.13,5.9,0.499
175,15.041,1045.9,1282.8,5.881,0.4996
176,15.124,1048.4,1283.18,5.859,0.5005
177,15.038,1047.4,1283.49,5.852,0.5007
178,15.047,1050.1,1283.69,5.848,0.5008
179,15.128,1053.5,1283.72,5.84,0.5011
180,14.923,1054.1,1283.92,5.859,0.5002
181,14.921,1054.3,1284.22,5.874,0.4994
182,14.957,1053.9,1284.56,5.88,0.499
183,15.007,1052.7,1284.89,5.877,0.4989
184,14.96,1051.6,1285.27,5.879,0.4987
185,15.017,1050.6,1285.59,5.873,0.4988
186,15.248,1051.9,1285.61,5.843,0.5002
187,15.188,1051.9,1285.51,5.827,0.501
188,15.239,1048.6,1285.31,5.806,0.5021
189,15.071,1047.4,1285.16,5.808,0.5021
190,14.884,1043.1,1285.27,5.826,0.5011
191,14.598,1044.2,1285.8,5.876,0.4986
192,14.561,1043.5,1286.65,5.916,0.4965
193,14.481,1042.7,1287.82,5.955,0.4943
194,14.261,1043.5,1289.43,6.01,0.4913
195,14.278,1037.9,1291.39,6.044,0.4891
