second,temp,o2,fuel,fan,error,pressure
0,1450.0046604766387,2.7676331508654055,18.015771336015238,900.0194087936839,0.004660476638719047,-2.9204654041273366
1,1450.0067017932074,2.734395564274434,18.015771336015238,900.0194087936839,0.0067017932074122655,-2.8311422444756786
2,1450.0046338872696,2.7168332345143327,18.015771336015238,900.0194087936839,0.004633887269619663,-2.7447596113035657
3,1449.999102900511,2.685019886272148,18.015771336015238,900.0194087936839,0.0008970994890660222,-2.6803623892901394
4,1449.9805546306868,2.6288724609741037,18.015771336015238,900.0194087936839,0.019445369313189076,-2.629877676061409
5,1449.9672547998484,2.5819049641774847,18.015771336015238,900.0194087936839,0.03274520015156668,-2.598094519498304
6,1449.9676269667664,2.5324383043876906,18.015771336015238,900.0194087936839,0.03237303323362539,-2.578047714692161
7,1449.9564975306237,2.5059256897350966,18.015771336015238,900.0194087936839,0.043502469376335284,-2.5519579340734024
8,1449.9377816941912,2.486311665181602,18.015771336015238,900.0194087936839,0.06221830580875576,-2.5310734522704617
9,1449.9194915525143,2.458218540669362,18.015771336015238,900.0194087936839,0.08050844748572672,-2.4990488764075054
10,1449.9037904703675,2.465606721829357,18.215593374215917,900.0667115607617,0.09620952963246054,-2.4812306990625115
11,1449.880631977091,2.4658491233419553,18.215593374215917,900.0667115607617,0.11936802290892956,-2.47474037337626
12,1449.8502762033722,2.4226013296955125,18.215593374215917,900.0667115607617,0.14972379662776802,-2.4523709358679096
13,1449.8257981894576,2.410534859297845,18.215593374215917,900.0667115607617,0.17420181054239947,-2.4279877499068356
14,1449.7931187270362,2.3906945491090004,18.215593374215917,900.0667115607617,0.2068812729637557,-2.409391602409217
15,1449.7737505885516,2.367122865218278,18.215593374215917,900.0667115607617,0.22624941144840705,-2.4023874647933443
16,1449.759833572134,2.323755965998653,18.215593374215917,900.0667115607617,0.24016642786591547,-2.3825835164006626
17,1449.7528503503497,2.29310531292708,18.215593374215917,900.0667115607617,0.2471496496502823,-2.372019140951313
18,1449.7401556657348,2.290476394082753,18.215593374215917,900.0667115607617,0.2598443342651535,-2.343022298050866
19,1449.7371218160347,2.2856564447028354,18.215593374215917,900.0667115607617,0.26287818396531293,-2.331683024694154
20,1449.7256522928342,2.272578912884646,18.71998391625086,900.1375650233493,0.27434770716581625,-2.3276690962921958
21,1449.7267096472663,2.272776129554514,18.71998391625086,900.1375650233493,0.2732903527337385,-2.336364291334417
22,1449.7304597300636,2.278963935756555,18.71998391625086,900.1375650233493,0.2695402699364422,-2.3306161903064426
23,1449.745908288887,2.276731330090051,18.71998391625086,900.1375650233493,0.25409171111300566,-2.330512171844158
