adim,fuel,fan,sicaklik,o2,efficiency
0,15.950652584940915,996.7075237067246,1414.1233582396324,4.191623558680912,0.9370690303391479
1,16.166659621742976,997.822513214212,1426.65920975392,4.331945713819456,0.9039037604705817
2,15.975287778351154,998.3291673911722,1437.2976135553813,4.463031818632824,0.8633096244520914
3,15.95527716327279,999.0915721521244,1446.0406712139618,4.5727340700432695,0.8231655340651105
4,16.034406641485223,995.6085153326,1453.290314398932,4.653590264284754,0.7904966997574587
5,16.011592781360196,993.7079079663558,1459.2016741569346,4.720319833043308,0.7619077988410554
6,16.021967423788354,993.7903740694366,1463.9478744104638,4.7742526080200225,0.737890872274238
7,16.063547419681562,993.4555722564523,1467.79284384404,4.814826456065919,0.7193523876888945
8,16.18779261991918,994.1222962293095,1471.0647068343087,4.838447737023617,0.7083561454967823
9,16.220876119875918,994.1863141746039,1473.924200622547,4.855162001359107,0.7004891667312817
10,16.171305514112728,992.3467974793147,1476.4225537508435,4.871527933395537,0.6927535843123976
11,16.146795429850254,992.5415444861419,1478.5398801655247,4.887098190488501,0.6853661448751015
12,16.111918221628578,992.4042751207041,1480.2111116242886,4.902612191120336,0.6779887620478285
13,16.314887242667137,992.0048129041567,1482.28877205389,4.89844504980346,0.6798664547122928
14,16.344103907761053,991.3365575284973,1484.1666810509614,4.892135206988147,0.6827579058812597
15,16.243193987832655,987.0923835962083,1486.0646960966317,4.89199889904333,0.6827411045676054
16,16.19025932722904,985.0675191154949,1488.0359348010725,4.894682149445687,0.6813946606726915
17,16.156246347428084,989.1239843581436,1489.677247269616,4.902728643208397,0.6775331963753435
18,16.273064514293193,989.5099942172747,1491.3503270483816,4.900072210951106,0.6787150460709546
19,16.111229931532012,992.3367235030333,1492.716619736894,4.913256065943404,0.6724310333313898
20,16.01115285523835,991.4514881965566,1493.8750798152537,4.93157588782011,0.6636931394856642
21,15.979366608434793,990.8592420089584,1494.7012736623083,4.9487479757299715,0.6554777047918938
22,15.953894939880067,989.7518640401297,1495.1237222685677,4.9640734548259156,0.6481322983739175
23,15.924641198114251,987.5661219542341,1495.2553572095558,4.977378542444755,0.6417465781770867
24,15.885331653084705,986.2710816803833,1495.0712955448992,4.990522039864986,0.6354359565206106
25,16.00788779133133,984.8150617506594,1495.2333695611298,4.990183669065191,0.6355923465449665
26,15.784213667377214,983.590589065771,1495.0831899379186,5.007259153069113,0.627371058633754
27,15.788110489167163,981.7043385183756,1494.55477016072,5.019516596261824,0.6214738891390602
28,15.8332564812074,981.913049887561,1493.8108412786557,5.026036155005423,0.6183514828147615
29,15.85529015524941,976.5266680730911,1493.1561568135285,5.025509496680722,0.6186314340539575
30,15.771973691595521,977.8714843407831,1492.4934574446008,5.032902939362637,0.6150806212673122
31,15.792181049294753,979.9466635925024,1491.4334666891782,5.038883052604927,0.6122265332244974
32,15.920793483588291,978.6979694317961,1490.4194752284773,5.032332524547643,0.6154363691527442
33,15.964705443584545,982.4162051798992,1489.4366995610144,5.026183592395341,0.6184491540220058
34,15.80656843323532,981.8634718077958,1488.2848954864203,5.0336465580868825,0.614882383208995
35,15.861518203417402,982.0149293256729,1487.0725464987204,5.035390196618182,0.6140847655022053
36,15.649923157054873,983.3077801864523,1485.3707885782082,5.055088922653343,0.604603421420207
37,15.633245915228079,982.1928870654402,1483.5355626738233,5.0717618830047755,0.5965819846396747
38,15.656311438836601,981.860141733593,1481.1769863752568,5.083297240432785,0.5910680347770427
39,15.791605089182255,983.1379422090984,1478.858827025571,5.082666053576988,0.5914601810633832
40,16.002653845452855,982.5812452153441,1477.0590828558597,5.064480713065523,0.6003587590226718
41,16.054235156706504,982.1171215805708,1475.7613627085154,5.045002631622585,0.6098590998109292
42,15.930787048592677,981.1673663855323,1474.5323116356267,5.038400769306988,0.6131066609711998
43,15.885888468357072,977.7080794421762,1473.5232466414425,5.034041133255876,0.6152580792582866
44,15.966646476832912,975.7305640803797,1473.0166831866447,5.0223716856278,0.6209286427149847
45,16.02965463395513,975.7320556167186,1472.9054280815799,5.007654839574221,0.6280492463740251
46,15.941112763003568,976.0441753016934,1472.6547715879349,5.00305862998629,0.6302788318678479
47,15.91291129955135,975.1697154938524,1472.5548436168701,5.000933270102774,0.6313087409761089
48,15.996098966755138,979.9293214780268,1472.1494687629138,4.995990640958433,0.6337095103216877
49,16.157215542097365,981.033831333868,1472.0542298312519,4.9796062479741225,0.6416055018593274
50,16.199101889649757,980.7259286242426,1472.3658729000117,4.962515318956529,0.6498010815638146
51,16.050905031062637,982.8626565889739,1472.8407874131346,4.962226770787179,0.6499201667069375
52,15.936631568495805,986.5731889893533,1473.2955516371371,4.9741337511439605,0.644186743811282
53,15.951565345272332,985.6664442274381,1473.66719821888,4.981991587758336,0.6403933927437375
54,15.87893616453094,984.2890701973064,1473.6277666876547,4.993328975665531,0.6349344545250509
55,15.960498773750716,984.0112597438794,1473.4751668051335,4.995750312621199,0.6337729981251299
56,15.901336741414813,985.8977177422369,1473.22833124736,5.003996692454096,0.6298033647688993
57,16.057070776386226,987.8943897712686,1473.136376692367,4.999541622633155,0.6319574339584435
58,16.2205651109691,986.4048656704928,1473.3380986724683,4.981401628137684,0.6406904117112249
59,16.485278984744575,986.7514023305328,1474.2656207536045,4.945156396601457,0.6580306687073015
60,16.381322642926758,987.4741413772749,1475.7311808217958,4.92447700971444,0.6678213927591401
61,16.28289297185613,987.3672371823286,1477.6147512073396,4.915482765615598,0.6720105280839369
62,16.111895272954236,989.4285094747912,1479.308795083832,4.923639739261913,0.6680699614522334
63,15.991655483165038,986.603562649812,1480.486022960233,4.93801879347378,0.6611800002312281
64,15.88718340952192,987.3454499085095,1480.99846479081,4.958907942553201,0.6511791187784582
65,15.929394810956842,986.5772746449976,1481.256737795874,4.972006788573849,0.6448880764008265
66,15.732274333592821,986.2255866835724,1480.8323807173572,4.9985906516221315,0.632112604952392
67,15.629361204235133,985.3078484988758,1479.9139032597432,5.0281056701852025,0.6178866950593304
68,15.695013855626529,986.3541081951681,1478.4776206788824,5.047733823065613,0.6084313887090527
69,15.584540130236249,983.6270736549718,1476.8429955933996,5.070795183154055,0.597300743808865
70,15.414294012077857,987.437832399365,1474.59925905454,5.106498944813242,0.5800353901800596
71,15.329614697382485,986.5329934954821,1471.9822335376086,5.142011964759346,0.5628763875916439
72,15.33699888869279,985.4544673467528,1468.6808578861614,5.169713839232834,0.5495536728036154
73,15.312959950030049,984.8372206840188,1464.792148877176,5.193927199891586,0.5379660133102012
74,15.358223254718624,985.2476124405532,1460.39373324991,5.210393494540553,0.5301603655835647
75,15.308449781899299,986.7561097998874,1455.4950289532198,5.2291037683551576,0.5213059395768423
76,15.386197879917011,986.9733160986094,1450.3645688050171,5.238256826274959,0.5170706607097947
77,15.52991018749895,983.0099110679031,1445.6266206043285,5.231021829790387,0.5207032671035503
78,15.496323683843153,984.7894123366149,1440.7452597742372,5.229179124710935,0.5217488864126787
79,15.45862174839916,983.964373213193,1435.8321066418748,5.230125379132961,0.5214526952416658
80,15.519303704011502,982.2759502001775,1431.249837242183,5.224665930548542,0.5242330314843694
81,15.438084257260336,981.3411098590994,1426.6109069539534,5.2261196965999694,0.5236831834794196
82,15.526801073904284,981.5290575987713,1421.9760580842553,5.220203934997188,0.5266893859921156
83,15.445512092391606,979.4663713795976,1417.3653933495648,5.220436555270427,0.5267280674960695
84,15.540858114355153,984.8578971245032,1412.8239272639958,5.2169116204427715,0.5285802836884013
85,15.624263643929615,981.9325230668868,1408.6527002302425,5.204993691219711,0.534485096636833
86,15.594857835757269,980.402322751553,1404.8329170785203,5.196467200462253,0.5387453723404255
87,15.670923700193807,978.3702483523223,1401.3779016451615,5.181723127353565,0.5460205748924936
88,15.72747177534007,977.367378821013,1398.483234874405,5.164253709337818,0.5546180953863552
89,15.712650709245663,976.602314045324,1396.1432261910752,5.15056157511572,0.5613704613921296
90,15.608277142776947,977.0078368723739,1393.8489342422592,5.148170008162673,0.5626166354971167
91,15.709464503542891,976.6943535073632,1391.7804266791152,5.137702898715433,0.5677956454294307
92,15.628336090136688,978.9863409433906,1389.7947369648778,5.1374824254138876,0.5679732499623716
93,15.610140810637253,980.9952873345665,1387.6407702009476,5.140307319019043,0.5666702904329453
94,15.57478043234131,985.2088377457599,1385.3868643685048,5.148698826000478,0.5626542124411511
95,15.73761213093761,988.5372417312857,1383.0895327561013,5.144789528729023,0.5646423106341241
96,15.777932495769228,991.735443961068,1380.9912925173724,5.140706765638105,0.566709108973631
97,15.747384971679029,990.7243174050533,1379.1012964984338,5.139090831895856,0.5675647089531719
98,15.852008758211783,988.3742876489056,1377.506409841642,5.127439287896108,0.573313377962104
99,15.975187821291447,988.0294759172111,1376.4828393942855,5.107558151112283,0.5830687868279274
100,15.97716833550152,988.1650741150937,1375.9094456652433,5.091196283565898,0.5910901491100216
101,15.976563856857746,991.2150219954319,1375.5078567066687,5.080134710770167,0.5965131657144824
102,15.878093790814104,989.5790953859464,1375.0481064769333,5.077874434357984,0.597635139738432
103,15.998183442065615,991.1294411750276,1374.9368507205331,5.067379342816265,0.6027688201759075
104,16.026098707765314,990.4023224900818,1374.9729391267672,5.055942430513258,0.6083544943002063
105,16.126548542454312,986.5054578903539,1375.4972665864345,5.035409372296613,0.6183542515547692
106,16.13208467342375,983.4860799097645,1376.435238435798,5.015837202182815,0.6278508090346377
107,16.106566572121718,984.2543604918505,1377.8658104258984,5.00245418204796,0.6342999703034833
108,16.158276662924845,985.8379496520214,1379.5972069462462,4.988451550322037,0.6410239513197915
109,16.109014875238515,985.5781908036412,1381.4165455644684,4.980798687907131,0.6446568649938591
110,16.11704930070335,983.0483916887426,1383.5942333215971,4.97195423934706,0.6488451889529696
111,16.13121661934896,988.5179961635864,1385.9018513041474,4.967679059231063,0.650816096054665
112,15.997178019147734,987.32369520461,1388.0484570543392,4.974224154419404,0.6475695438245797
113,16.04133938358254,988.643399413864,1390.0665756761362,4.976979962154427,0.6461569870917275
114,15.983846546731947,988.6629638522361,1391.745889275977,4.983952829839986,0.6427181761123792
115,15.989675653350487,988.3918055180529,1393.4679516059537,4.9889892310486355,0.640212074712566
116,16.0179607560486,989.7831396097827,1395.1081502778782,4.991859470020585,0.6387570581321428
117,15.943007710302432,984.502720825784,1396.8693368246102,4.996346232275258,0.6365136191428936
