% # columns="iteration, evaluation, void, void, void, xmean", seed=162343, Sat Apr 25 05:10:33 2026, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 8 0 0 0 0.4763222345432228 9999.947171083999 7199.901470028196
2 16 0 0 0 0.3994083006140304 9999.795404083945 7199.9440903425
3 24 0 0 0 0.26134263846655637 9999.723327026844 7199.941548394525
4 32 0 0 0 0.13646052760035543 9999.523716642438 7199.97210644019
5 40 0 0 0 -0.011805685445913459 9999.214183765689 7200.024422407006
6 48 0 0 0 -0.06658701118214111 9999.16241244543 7200.053996598118
7 56 0 0 0 -0.12572751553131054 9999.277827714213 7199.867266476959
8 64 0 0 0 -0.15017922598509217 9999.048536738877 7199.984162880684
9 72 0 0 0 -0.06796527981809748 9999.260849570885 7199.989488560772
10 80 0 0 0 -0.21441600681117357 9999.12044386951 7199.996700313429
11 88 0 0 0 -0.2809663205052574 9998.98989641322 7199.988592595691
11 88 0 0 0 -0.2809663205052574 9998.98989641322 7199.988592595691
