% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, elapsed wallclock time [s], further/more values", seed=162343, Sat Apr 25 05:10:33 2026, <python>{}</python>
1 8 0.16803585077953517 1.0000333338888951 904353.6946035707 9.0435369460357074e+05 922369.0598947513 922540.3418469715 2591.3267225520685 919829.6102750199 nan 0.1   
2 16 0.1687038989376052 1.337870572676186 874501.1340549912 8.7450113405499118e+05 922288.4747673176 922388.6043975867 14963.163175132591 907396.0525125714 nan 0.1   
3 24 0.19076377640120804 1.669684163692363 361132.1679590062 3.6113216795900621e+05 875503.5328923035 922172.2181713475 92607.3517825891 818674.5325678467 nan 0.2   
4 32 0.2255187933559935 1.7365295580437705 30838.797372511905 3.0838797372511905e+04 515369.7726259567 922465.4455471478 569198.7627050881 352065.9208747551 nan 0.3   
5 40 0.2808408192073383 2.2207112719552855 30838.797372511905 5.5940740665693615e+04 564488.1508232477 853709.1383433302 759019.3279928322 55940.740665693615 nan 0.3   
6 48 0.27289649189321563 2.79326247580003 16876.74771526633 1.6876747715266330e+04 55940.740665693615 840036.9733381206 0.0 55940.740665693615 nan 0.4   
7 56 0.28493463349979414 3.0678247974217387 2252.662838656819 2.2526628386568191e+03 55940.740665693615 919326.0761224385 0.0 55940.740665693615 nan 0.4   
8 64 0.24159110019189772 3.472292161172411 2252.662838656819 2.3520484345350149e+04 55940.740665693615 55940.740665693615 0.0 55940.740665693615 nan 0.5   
9 72 0.19293079422607048 3.8143129352244323 2252.662838656819 1.0969752068316851e+04 55940.740665693615 55940.740665693615 0.0 55940.740665693615 nan 0.5   
10 80 0.18834482736302666 4.23534890073859 2252.662838656819 5.5940740665693615e+04 55940.740665693615 55940.740665693615 0.0 55940.740665693615 nan 0.6   
11 88 0.17173450159213288 4.201907698553111 2252.662838656819 5.5940740665693615e+04 55940.740665693615 55940.740665693615 0.0 55940.740665693615 nan 0.7   
