% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=162343, Sat Apr 25 05:10:33 2026, <python>{}</python>
1 8 0.16803585077953517 0 0 0.14288704413576478 0.16756568134199232 0.16067182243808417
2 16 0.1687038989376052 0 0 0.1271669944390306 0.18137133980268597 0.15975193678112648
3 24 0.19076377640120804 0 0 0.1707703098171529 0.21283530898864977 0.13963056634236712
4 32 0.2255187933559935 0 0 0.2045130839945314 0.28900795018122055 0.15782359054043954
5 40 0.2808408192073383 0 0 0.26508759499142837 0.41110667102182746 0.20060106526961655
6 48 0.27289649189321563 0 0 0.2524188960717785 0.38141496176093626 0.1840961600932074
7 56 0.28493463349979414 0 0 0.2446992017929866 0.42220017404538596 0.19670439391560066
8 64 0.24159110019189772 0 0 0.19529554104027175 0.34898964536000493 0.16122535913564132
9 72 0.19293079422607048 0 0 0.15836214736285242 0.2902187369098551 0.10032138052865773
10 80 0.18834482736302666 0 0 0.1578755367375714 0.275482917024223 0.09206427328129498
11 88 0.17173450159213288 0 0 0.14584002620211026 0.24131222030552008 0.06901174250088235
11 88 0.17173450159213288 0 0 0.14584002620211026 0.24131222030552008 0.06901174250088235
