% # columns="iteration, evaluation, min 25%tile 75%tile max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=162343, Sat Apr 25 05:10:33 2026
1 8 -0.21902924017359232 -0.14453325701212436 0.08661418854997649 0.0891673539092088 0.8537171337265553 1.0256017951267586 1.1042228096785922
2 16 -0.21707526664706092 -0.1314182891782517 0.1990000381659019 0.2234825031451439 0.8537171337265553 1.0256017951267586 1.1042228096785922
3 24 -0.07458395608333038 -0.06964644432689522 0.32511866313574195 0.4517695205335192 0.8537171337265553 1.0256017951267586 1.1042228096785922
4 32 -0.15401611866730106 -0.14958645009979657 0.4136656235905139 0.5969866462531129 0.6346132896035976 0.9677252115313801 1.2887101643213057
5 40 -0.27409419905114774 -0.2730356327816189 0.4631676599215199 0.707510191219704 0.6346132896035976 0.9677252115313801 1.2887101643213057
6 48 -0.17325969079821157 -0.16587218380199273 0.5390370474510222 0.7666192842058084 0.6346132896035976 0.9677252115313801 1.2887101643213057
7 56 -0.20981817468570313 -0.1571557639492882 0.5657540670514787 0.754061599981986 0.4659146237127145 1.0002147081589672 1.3351007830846
8 64 -0.18379695450612113 -0.1196523341860459 0.5945682306926916 0.7684971319988622 0.4659146237127145 1.0002147081589672 1.3351007830846
9 72 -0.22489833705639212 -0.17216389898629123 0.5971783521120502 0.8008913310747297 0.4659146237127145 1.0002147081589672 1.3351007830846
10 80 -0.3348815822366198 -0.27956312862985144 0.5637793811742912 0.7895750975022369 0.4221226432562036 0.9586567096938539 1.3794164661223056
11 88 -0.2961498593554662 -0.2629456529205329 0.5644850531408586 0.8070910820597225 0.4221226432562036 0.9586567096938539 1.3794164661223056
11 88 -0.2961498593554662 -0.2629456529205329 0.5644850531408586 0.8070910820597225 0.4221226432562036 0.9586567096938539 1.3794164661223056
