adim,fuel,fan,sicaklik,o2,efficiency
0,15.76220128029397,1002.6314102099776,1398.237290169006,4.21150225749312,0.5803562624401264
1,15.88024695470361,999.1637870640628,1394.38006703931,4.372665893026411,0.5023377387697374
2,15.866466739668386,1003.4278980325394,1388.103497465039,4.509169861228556,0.4383735229682329
3,15.766932984561107,1001.7632802989787,1380.564462736615,4.62797856261511,0.4
4,15.809359626696137,1001.5789786428179,1372.1109580726206,4.721795260504752,0.4
5,15.792544670136941,1002.1377375356888,1363.0138221747734,4.800521492747286,0.4
6,15.69229810902444,1001.0991588663841,1353.639260731221,4.872483986686284,0.4
7,15.84782129754338,1000.6787498768414,1344.355562715359,4.9184660475544,0.4
8,16.102138610754754,998.8261235772063,1335.7875118278816,4.933987941148097,0.4
9,16.137583839241277,993.2871539427638,1328.460619062199,4.939631848779372,0.4
10,16.105015568719118,990.7684737486258,1321.9654361513499,4.945017209877319,0.4
11,16.033799449307864,992.4495616108609,1315.7002787204963,4.956523889679774,0.4
12,15.985238760479167,993.9690366837559,1308.3102313748827,4.971076469763976,0.4
13,15.894241955530404,992.536974814828,1302.087693037083,4.989363205560526,0.4
14,15.92868704067357,994.1698732613158,1295.9482698981221,5.002777947781341,0.4
15,15.77106195042837,992.520340972513,1289.6485705423456,5.025412112366913,0.4
16,15.743640090734818,991.1708908333432,1283.9603992160287,5.045192857396027,0.4
17,15.763980987429454,991.907652110746,1278.3644494471755,5.060307801767731,0.4
18,15.789128939942476,994.5252821398252,1272.260672275356,5.0726258937751485,0.4
19,15.734486263662092,994.9527767635689,1267.260171689632,5.087515314662413,0.4
20,15.779262521049173,994.6624121268161,1263.9514691463778,5.095846008370914,0.4
21,15.928975011652938,996.8074676621776,1260.9454680056901,5.092064334464477,0.4
22,15.989203426767359,994.6760569906446,1258.3884005769244,5.08243014931037,0.4
23,15.981047379571828,995.532265068693,1255.7019700713854,5.075843922967826,0.4
24,15.996446216213538,996.9936273020278,1252.9369890026555,5.070289614284979,0.4
25,16.01038203456897,994.9474545959795,1250.2459333614252,5.063049339523267,0.4
26,16.050468476179034,996.6889274199619,1247.9266292034708,5.055153003665219,0.4
27,15.984808569085267,995.3536426385015,1245.1474760132387,5.053034260574539,0.4
28,15.979441931343272,996.391394052293,1242.3763087728175,5.0525199929452835,0.4
29,16.088875064542716,997.677504298082,1239.9456896704787,5.044127717190052,0.4
30,16.07027247700568,997.4485615458099,1237.9830782365082,5.03859317380357,0.4
31,16.044927385027872,996.7754915844642,1236.0204130933068,5.0356172082523045,0.4
32,16.133767613080334,994.5880316217068,1234.8459785187783,5.024263173331975,0.4
33,16.113245740602878,994.1546428335408,1234.760753892054,5.016302270192309,0.4
34,16.132891505232823,997.4505180173646,1234.7783416251436,5.010660559371194,0.4
35,16.068705104091155,997.3257637013261,1234.7698214243537,5.011185354936252,0.4
36,15.956048346242723,999.4026808644536,1234.4853844324969,5.022392146926299,0.4
37,15.948961783776651,997.3845293568189,1234.3646792007485,5.030635107703092,0.4
38,16.03131195633179,1000.5221669278088,1234.109422366631,5.033036733442525,0.4
39,16.152951894021715,997.9416783939173,1233.9051973781122,5.023114801509217,0.4
40,16.05020110734,999.3407131272342,1233.5588072782775,5.024433281869922,0.4
41,15.949012196117708,995.2420779810404,1234.1512071583209,5.030685025420263,0.4
42,16.147891670020854,993.9010103426018,1234.869162952091,5.018545177389519,0.4
43,16.22151037396864,994.6692570943993,1235.5441373696303,5.003155176062053,0.4
44,16.105863049717307,998.5831337144599,1236.2987992622848,5.002944965036117,0.4
45,16.039223628278258,997.6245058291698,1236.9087647810886,5.007493642833569,0.4
46,15.992840096017613,996.3798017564726,1237.5935425600635,5.01407302460486,0.4
47,15.93393408044381,997.9774542992342,1237.5397310962485,5.025489742572338,0.4
48,15.873902708074782,1000.1075805474138,1236.426698686963,5.0413675904992905,0.4
49,15.915034216881452,997.9065825737306,1235.453138256733,5.049362204431606,0.4
50,15.74307970996599,995.5684101444116,1234.9616971645405,5.068202251804672,0.4
51,15.774133738202684,997.0116753555724,1234.7916714523835,5.08220446396272,0.4
52,15.837004381951166,993.559529974708,1234.3535113832259,5.08593866701726,0.4
53,15.923199381555913,996.6455882209654,1233.1224463209726,5.084289918188453,0.4
54,15.854746268183941,995.9348946981733,1233.0867945237185,5.087994648270359,0.4
55,15.79230624181783,995.2778123486485,1233.3984690508016,5.0956383716359195,0.4
56,15.821696909740961,994.7043289416873,1233.0604173221398,5.099070865957338,0.4
57,15.710200472249406,994.1744405015619,1232.2816994570235,5.110596404511977,0.4
58,15.732821027125354,995.7374841890935,1231.0281320002825,5.1193804554100915,0.4
59,15.778284262072884,993.1037149701083,1229.799339020573,5.120876992057081,0.4
60,15.830075239317008,992.7014429005891,1228.4429449787312,5.117567675762666,0.4
61,15.743470124141673,991.8132077007932,1227.4689679360872,5.121259900602328,0.4
62,15.79362314343353,991.278963831479,1225.7337473948717,5.119785131869119,0.4
63,15.785822413550823,989.6116791544258,1224.509430801747,5.117952829938051,0.4
64,15.706821669654559,989.6591549196158,1223.6585114543934,5.12294217482426,0.4
65,15.785132471541955,991.0665456491508,1223.2107259466154,5.1216978662922426,0.4
66,15.87772106315458,990.4565876215735,1222.6226698611595,5.112650065320556,0.4
67,15.78840554978643,991.6102132643463,1221.6491550585995,5.113401873262155,0.4
68,15.907075396931639,994.0628332589637,1220.7736964290007,5.10617483658149,0.4
69,16.073375457800516,996.3079199365068,1219.4116841494135,5.088355911057362,0.4
70,16.36249180650853,1000.3480201771382,1218.3904683213852,5.053172119893076,0.4
71,16.217168398545216,1000.9961777797486,1217.9489226360688,5.036687247184697,0.4
72,16.051106211830728,998.9527848850748,1218.0850930247784,5.035195448433761,0.4
73,15.96419411426114,999.5369763549572,1217.603321878712,5.041516278822611,0.4
74,15.963651527573857,997.2013601011861,1217.6030187601957,5.044977974037701,0.4
75,16.062595553712175,996.7694293202197,1217.6694753566958,5.039404318627643,0.4
76,16.0033541606932,995.7802486653393,1217.4204247209516,5.038927307253815,0.4
77,16.018413754141136,996.7040630202494,1217.5385279309187,5.038003891603023,0.4
78,16.038221949518935,996.9973021058115,1218.147094765057,5.035849653791785,0.4
79,15.93196178742857,998.8036932546828,1217.936372032046,5.044132390941141,0.4
80,16.18744226336079,996.5595315399086,1218.7927821642581,5.028349784654063,0.4
81,16.062375170664758,997.3224210824958,1220.4647686105518,5.026205274807975,0.4
82,16.13840298367878,996.6025215186053,1223.7384035059113,5.017689539784374,0.4
83,16.168461796423053,995.0581580813274,1226.2494882172557,5.007082692128979,0.4
84,16.040935459078298,993.448298041608,1227.818242142067,5.00758947514934,0.4
85,15.939170818250377,991.4899750529839,1228.8715681393785,5.014840751495093,0.4
86,16.13731919583943,993.5665214719912,1229.7203654259163,5.006163981774804,0.4
87,16.078027668372773,994.0169486132719,1231.0338756080284,5.00423485714755,0.4
88,16.032740967821262,994.1029929838867,1231.8772964758487,5.006418853666456,0.4
89,16.133768845040198,992.6016474933173,1232.9692984286742,4.998818715494757,0.4
90,16.14811076658304,992.9273869451588,1234.1542026170166,4.991660839391074,0.4
91,16.393948454578833,994.4102000884169,1234.8467260001205,4.966822531859342,0.4
92,16.38975232978272,993.5651015358516,1237.2945908391077,4.946159132495921,0.4
93,16.28835585667494,992.1715250376617,1239.170713584238,4.936447720967651,0.4
94,16.1095778495364,992.2605523668713,1241.230480268915,4.943161406918714,0.4
95,16.148806156775,993.7009614860782,1243.064964674631,4.946549841425168,0.4
96,16.151391375668908,991.165009493403,1244.2727955061152,4.947199913925987,0.4
97,16.239851376999564,993.1041180264662,1244.6903264585985,4.941969988118913,0.4
98,16.43735760685824,994.5424510272375,1246.2732735406864,4.922628619601645,0.4
99,16.226482583017734,997.0557385428822,1247.1626675825212,4.925901449727559,0.4
100,16.19163058144977,994.1195861500177,1247.963830856629,4.929213544789937,0.4
101,16.102099725630193,994.2295628428991,1249.0928522997867,4.93932906665848,0.4
102,16.030254565901668,991.5329991487977,1250.2791464791346,4.951456378890961,0.4
103,16.139023115945918,987.9614130584856,1253.0455883687323,4.949812089927702,0.4
104,16.22505621299768,988.8999776728849,1255.555646733781,4.9421427031352465,0.4
105,16.3399566944809,988.6267145122325,1257.5438798299847,4.9262575516691705,0.4
106,16.298731416031735,988.8743031633506,1258.5263792742892,4.9167878342421,0.4
107,16.381979159833215,987.6667802717265,1259.9837675314823,4.901306773022377,0.4
108,16.33564944042924,986.2977296231464,1261.6434116192966,4.8913633652015704,0.4
109,16.42853801326688,980.2296820389504,1264.5350895347399,4.8710314726425645,0.4
110,16.46452389990505,978.3182035085325,1268.792205155335,4.8499734763191125,0.4
111,16.454984201929456,979.4501116153602,1271.6702478830125,4.834341225981209,0.4
112,16.497106215889467,979.6928476606929,1274.3343305497194,4.818264078173588,0.4
113,16.545051324421582,980.89020436731,1276.4046626549878,4.802067944372297,0.4
114,16.66689044106006,980.0187623885087,1278.32505587245,4.778171611907568,0.4
115,16.51590153718467,974.634795731061,1281.4676212026638,4.766845153718156,0.4
116,16.465331927570702,971.2757390099213,1285.29830995064,4.759150559619311,0.4
117,16.3527519682387,967.3915039169187,1289.8710665356905,4.759104545004559,0.4
118,16.26192594325183,967.6631131837282,1293.7007700544018,4.766694452388097,0.4
119,16.38377144298776,966.5401852431618,1297.7985343168916,4.76211202868111,0.4
120,16.170893149099328,969.1479069691649,1300.8518860884458,4.777722293042801,0.4
121,16.148053676422897,970.2845497940012,1303.7892311796852,4.793248453502083,0.4
122,16.198594641022478,972.1841165458931,1306.2892339613418,4.803285769916046,0.4
123,16.37457016932872,970.9749623309642,1308.6841050452638,4.796221528615824,0.4
124,16.638077574627808,971.7947234880859,1311.361112530846,4.769514765023384,0.4
125,16.57104240339827,971.4109301337243,1314.4365116485799,4.752803185294564,0.4
126,16.59875599143503,973.7546234151698,1317.933067305708,4.73860676762334,0.4
127,16.340205205537213,969.4377459458261,1320.7194773512178,4.744830915989682,0.4
128,16.3422213438951,968.4445654255327,1323.005003294844,4.749019114350134,0.4
129,16.35003119101291,968.3918451140065,1324.4131392502022,4.751775359743724,0.4
130,16.41893802578181,971.4831438198315,1324.8646680541815,4.750741436250757,0.4
131,16.389952903407142,974.1928018486987,1325.6418305684026,4.754310784656805,0.4
132,16.35047080012107,973.4900826930884,1325.1462277626285,4.759932872148661,0.4
133,16.539948601590062,968.6495002247242,1325.210509461272,4.7453993776098535,0.4
