step,temp,fuel,u_mpc,u_rl_residual,error
0,1398.873232028878,16.047761999443175,16.05,-0.0022380005568265918,-51.126767971122035
1,1395.446692013976,16.10125566273928,16.097761999443176,0.003493663296103478,-54.55330798602404
2,1390.368708119502,16.162857620418077,16.15125566273928,0.011601957678794862,-59.63129188049811
3,1384.19836836978,16.228134131431585,16.212857620418077,0.015276511013507844,-65.80163163022007
4,1377.391194344381,16.29505210369826,16.278134131431585,0.016917972266674044,-72.60880565561911
5,1370.3052395019454,16.36258957982064,16.34505210369826,0.017537476122379304,-79.69476049805462
6,1363.2144498912132,16.430187310278423,16.41258957982064,0.017597730457782745,-86.78555010878677
7,1356.3233171495513,16.497525967657573,16.480187310278424,0.017338657379150392,-93.67668285044874
8,1349.780395690981,16.564423647522933,16.547525967657574,0.01689767986536026,-100.2196043090189
9,1343.6898939467706,16.630782090127475,16.614423647522933,0.01635844260454178,-106.31010605322945
10,1338.1212589921302,16.696555405855186,16.680782090127476,0.015773315727710725,-111.87874100786985
11,1333.116948510563,16.761730496585376,16.746555405855187,0.015175090730190278,-116.8830514894371
12,1328.9684484040952,16.82631425708533,16.811730496585376,0.014583760499954225,-121.03155159590483
13,1325.6908050721656,16.890134951472287,16.87631425708533,0.013820694386959077,-124.30919492783437
14,1323.3002232780434,16.953204521536833,16.940134951472288,0.013069570064544678,-126.6997767219566
15,1321.7774077485485,17.015512123703964,17.003204521536833,0.012307602167129518,-128.2225922514515
16,1321.0857908539685,17.077047382295138,17.065512123703964,0.01153525859117508,-128.91420914603145
17,1321.1800100431356,17.137784898281105,17.12704738229514,0.010737515985965729,-128.81998995686445
18,1322.010289839355,17.197675427794465,17.187784898281105,0.00989052951335907,-127.98971016064502
19,1323.524968156091,17.25663911551238,17.247675427794466,0.008963687717914582,-126.47503184390894
20,1325.6720418752125,17.314558993279945,17.306639115512382,0.007919877767562866,-124.32795812478753
21,1328.4001182893287,17.37127399593593,17.364558993279946,0.006715002655982971,-121.5998817106713
22,1331.6589713556857,17.42657142914833,17.42127399593593,0.005297433212399483,-118.34102864431429
23,1335.3980102773025,17.478036961310707,17.474429102965793,0.0036078583449125293,-114.60198972269745
24,1339.565403703375,17.524746234304,17.52315787669151,0.001588357612490654,-110.43459629662493
25,1344.1077479213304,17.566695696480405,17.56751214861108,-0.0008164521306753159,-105.89225207866957
26,1348.9719687222782,17.603584124525906,17.607234879588606,-0.0036507550626993183,-101.02803127772177
27,1354.1055978809088,17.63510671698113,17.642052328517632,-0.006945611536502839,-95.89440211909118
28,1359.4570841390032,17.660955206699246,17.671662005431525,-0.010706798732280733,-90.5429158609968
29,1364.975959371157,17.680874029927594,17.695781693988188,-0.014907664060592652,-85.02404062884307
30,1370.6129557354038,17.694685948379473,17.714170198626952,-0.019484250247478487,-79.38704426459617
31,1376.320118741213,17.702326089761655,17.726661547146243,-0.024335457384586336,-73.67988125878696
32,1382.0511068358428,17.704081123380703,17.733410539536518,-0.029329416155815125,-67.9488931641572
33,1387.7612389196952,17.69994441916465,17.73426197816848,-0.034317559003829955,-62.23876108030481
34,1393.4075340728868,17.69029783101634,17.729444772916594,-0.0391469419002533,-56.59246592711315
35,1398.936094648408,17.675654950674456,17.71933155351488,-0.04367660284042359,-51.063905351591984
36,1404.2927844704639,17.656764822834905,17.704424786204275,-0.04765996336936951,-45.70721552953614
37,1409.4296532288392,17.6344748299213,17.68545504022556,-0.050980210304260254,-40.57034677116076
38,1414.3034164027222,17.609626494843813,17.66324756046042,-0.05362106561660767,-35.69658359727782
39,1418.875690395479,17.58303917762218,17.638620729412416,-0.05558155179023743,-31.12430960452093
40,1423.1130733249597,17.555489326351086,17.612370748155513,-0.0568814218044281,-26.886926675040286
41,1426.9874245725202,17.52770075210778,17.585251057235876,-0.057550305128097536,-23.01257542747976
42,1430.476152168723,17.50034021102095,17.55796328149939,-0.057623070478439335,-19.523847831276953
43,1433.5625678310068,17.474016286442186,17.53115273267975,-0.05713644623756409,-16.437432168993155
44,1436.2375323018562,17.449278266994874,17.505407382814806,-0.05612911581993103,-13.762467698143837
45,1438.4970075669,17.426600280192694,17.481256672528588,-0.05465639233589173,-11.502992433099962
46,1440.3436226830795,17.406192527918787,17.45894607773301,-0.05275354981422425,-9.656377316920498
47,1441.7867687739229,17.38861288702622,17.439089819551853,-0.05047693252563477,-8.213231226077141
48,1442.8432249434272,17.374123965958038,17.422019236544052,-0.0478952705860138,-7.156775056572769
49,1443.5366848369267,17.362886859983885,17.407983430237255,-0.045096570253372194,-6.4633151630732755
50,1443.8966164411547,17.3549547502062,17.39713260021421,-0.042177850008010866,-6.10338355884528
51,1443.9570563711143,17.350276685577626,17.389512244683498,-0.03923555910587311,-6.042943628885723
52,1443.7553452685877,17.348706540244674,17.385066774266814,-0.0363602340221405,-6.244654731412311
53,1443.330904842656,17.35001756048464,17.383648691537612,-0.033631131052970886,-6.669095157343918
54,1442.7241139518221,17.35392000580267,17.385032727365058,-0.03111272156238556,-7.275886048177881
55,1441.9753202175386,17.36007964072109,17.38893293795467,-0.028853297233581543,-8.024679782461362
56,1441.123994733831,17.368135255518496,17.395020767989696,-0.02688551247119904,-8.876005266168931
57,1440.2079427381725,17.377713878268658,17.402942143196523,-0.025228264927864077,-9.792057261827495
58,1439.2615528869374,17.38844384731494,17.412332271353826,-0.023888424038887024,-10.738447113062648
59,1438.317894097863,17.39997506964366,17.42282804924409,-0.022852979600429535,-11.682105902136982
60,1437.4069051977767,17.411960921364013,17.43408795811433,-0.02212703675031662,-12.593094802223277
61,1436.5549464985709,17.424075787982034,17.4457741734591,-0.02169838547706604,-13.445053501429129
62,1435.7844125462098,17.43601939740426,17.457569939520425,-0.021550542116165163,-14.21558745379025
63,1435.1134527871234,17.447519964511468,17.4691833113981,-0.021663346886634828,-14.886547212876621
64,1434.555814185301,17.45833723609536,17.480350800503185,-0.02201356440782547,-15.44418581469904
65,1434.1208216053856,17.468264389780877,17.49083961322677,-0.022575223445892335,-15.879178394614428
66,1433.8134966615364,17.477129915290657,17.50044992410499,-0.02332000881433487,-16.18650333846358
67,1433.6349779656616,17.485007024059453,17.50922466541306,-0.02421764135360718,-16.36502203433838
68,1433.5827439327772,17.49157773846739,17.516816231552298,-0.025238493084907533,-16.417256067222752
69,1433.650916471569,17.496779921690905,17.523130080143893,-0.026350158452987674,-16.349083528431038
70,1433.8307625691205,17.50058860338911,17.528107850324957,-0.027519246935844423,-16.169237430879548
71,1434.1112821581771,17.503014288016658,17.531727308698994,-0.028713020682334903,-15.888717841822881
72,1434.4796426338198,17.504099878055865,17.53400069711905,-0.029900819063186646,-15.520357366180178
73,1434.9216806754525,17.50391840661663,17.53497169638771,-0.031053289771080017,-15.078319324547465
74,1435.42238319869,17.50256925093675,17.53471306430841,-0.03214381337165833,-14.577616801309887
75,1435.9663378880086,17.500174043416514,17.53332311892463,-0.03314907550811768,-14.033662111991362
76,1436.5381511655582,17.496872035930544,17.530921585629372,-0.03404954969882965,-13.461848834441753
77,1437.1228256248498,17.492815238148882,17.527645033509447,-0.034829795360565186,-12.877174375150162
78,1437.7060968606652,17.48816359575963,17.523642187678576,-0.03547859191894531,-12.293903139334816
79,1438.2759609072125,17.48308042946826,17.519069374237166,-0.03598894476890564,-11.724039092787507
80,1438.8202606367481,17.477714728659507,17.514085739201423,-0.036371010541915896,-11.179739363251883
81,1439.3283060615497,17.472224594444484,17.508836371988505,-0.03661177754402161,-10.67169393845029
82,1439.7910360455357,17.46675960674506,17.503475084450063,-0.03671547770500183,-10.208963954464252
83,1440.201129013166,17.461457473013517,17.498147094223615,-0.03668962121009827,-9.79887098683389
84,1440.5530594852603,17.456441391010337,17.49298593451505,-0.03654454350471497,-9.446940514739708
85,1440.84311121034,17.451817848173665,17.488110767690227,-0.03629291951656342,-9.156888789659888
86,1441.069343566527,17.447675136222006,17.48362440813935,-0.035949271917343144,-8.930656433472905
87,1441.2315158944991,17.444082300326983,17.479611800573032,-0.03552950024604797,-8.768484105500875
88,1441.3309730799783,17.441088822986956,17.476139134671563,-0.03505031168460846,-8.669026920021679
89,1441.3704976938025,17.438724810660865,17.47325355786183,-0.03452874720096588,-8.629502306197537
90,1441.3541351484726,17.437001517555817,17.470983159682856,-0.03398164212703705,-8.645864851527449
91,1441.286999549695,17.43591284967507,17.469338025818715,-0.03342517614364624,-8.71300045030489
92,1441.1749877002776,17.435436731263177,17.468311196251886,-0.032874464988708496,-8.825012299722403
93,1441.0244783058176,17.435328154258297,17.467670570306346,-0.03234241604804993,-8.975521694182362
94,1440.8422477431304,17.43575798467034,17.467596887501415,-0.03183890283107758,-9.157752256869571
95,1440.63538758753,17.436671730873655,17.4680457651592,-0.03137403428554535,-9.364612412470024
96,1440.4110902887974,17.438006586307917,17.468963417882357,-0.030956831574440003,-9.588909711202632
97,1440.1764501446248,17.439693924577906,17.470288193019105,-0.030594268441200258,-9.823549855375177
98,1439.9382840378626,17.44166159775005,17.471952854058603,-0.030291256308555604,-10.061715962137441
99,1439.7029738137776,17.44383611026215,17.473886835006947,-0.030050724744796753,-10.29702618622241
100,1439.4765112909959,17.44635426558642,17.476228042022274,-0.029873776435852054,-10.523488709004141
101,1439.2642613072353,17.448926399927714,17.478688417654613,-0.029762017726898196,-10.735738692764698
102,1439.0707525940086,17.45148376360266,17.481197298911496,-0.029713535308837892,-10.929247405991418
103,1438.8996392440215,17.45396367686637,17.483687875446158,-0.02972419857978821,-11.1003607559785
104,1438.7536846998426,17.456310595532308,17.48609944130982,-0.029788845777511598,-11.246315300157448
105,1438.6335331813314,17.4584768567859,17.488378310638552,-0.029901453852653505,-11.366466818668641
106,1438.5403885667197,17.460435893266197,17.49047852072,-0.030042627453804018,-11.459611433280315
107,1438.474662818515,17.46215585561078,17.492374576046878,-0.03021872043609619,-11.525337181484929
108,1438.436027117892,17.46361332261869,17.49403599822828,-0.030422675609588626,-11.563972882107919
109,1438.4234787961595,17.464793009121074,17.495440275032177,-0.030647265911102298,-11.576521203840457
110,1438.4354204088531,17.46568784354862,17.496573128687704,-0.030885285139083864,-11.564579591146867
111,1438.4697477649627,17.466298239812247,17.497427969560018,-0.031129729747772217,-11.530252235037324
112,1438.5251848232608,17.46663181416947,17.498005770968977,-0.03137395679950714,-11.474815176739185
113,1438.598720627735,17.466689429222626,17.498314130841774,-0.03162470161914826,-11.40127937226498
114,1438.6871128156633,17.46649154738973,17.49835436062406,-0.031862813234329226,-11.31288718433666
115,1438.786992235211,17.466063528194773,17.4981467057613,-0.03208317756652832,-11.213007764788927
116,1438.8949617361993,17.46543470700411,17.49771624882845,-0.03228154182434082,-11.10503826380068
117,1439.0076867795747,17.464637153502213,17.497091724630106,-0.03245457112789154,-10.99231322042533
118,1439.122051726197,17.463704776795478,17.49630463424501,-0.032599857449531554,-10.877948273802986
119,1439.2351402761612,17.462671362573634,17.49538803916646,-0.03271667659282684,-10.764859723838754
120,1439.3442930772326,17.46157055454529,17.494374876788026,-0.03280432224273682,-10.655706922767422
121,1439.4471532102748,17.460435210223725,17.493298082109025,-0.03286287188529968,-10.552846789725209
122,1439.541702526058,17.459296327053195,17.492189457236414,-0.03289313018321991,-10.458297473941911
123,1439.6262850104813,17.458182670020303,17.491079224490367,-0.032896554470062254,-10.373714989518703
124,1439.6996211032747,17.457120015457242,17.48999518378076,-0.03287516832351685,-10.300378896725306
125,1439.76073315789,17.456130856656454,17.488962340735814,-0.03283148407936096,-10.239266842110055
126,1439.8090297129045,17.455234908610816,17.488002469688887,-0.0327675610780716,-10.190970287095524
127,1439.84429131594,17.45444790192698,17.487134522877678,-0.03268662095069885,-10.155708684060073
128,1439.8666483114591,17.453781549112225,17.486373625175382,-0.03259207606315613,-10.13335168854087
129,1439.8765500518093,17.453243505033385,17.48573093620194,-0.032487431168556215,-10.123449948190682
130,1439.8747290536392,17.452837542666597,17.48521372176568,-0.03237617909908295,-10.125270946360843
131,1439.8621549287413,17.4525637378947,17.48482544627349,-0.03226170837879181,-10.137845071258653
132,1439.8399912499153,17.452418849426664,17.484566012579357,-0.032147163152694704,-10.160008750084671
133,1439.809551979714,17.45239656041356,17.484431997639856,-0.032035437226295475,-10.190448020286112
134,1439.772255583938,17.45248796618745,17.484417092569327,-0.03192912638187408,-10.227744416062023
135,1439.7295818081304,17.452682045073445,17.484512528748446,-0.03183048367500305,-10.270418191869567
136,1439.6830290211535,17.45296602552453,17.484707412176522,-0.031741386651992796,-10.316970978846484
137,1439.6340751544035,17.45332582640705,17.48498913693485,-0.03166331052780152,-10.36592484559651
138,1439.5841470865935,17.45374664266173,17.485343985748926,-0.031597343087196354,-10.415852913406525
139,1439.5345877642837,17.454213212676823,17.485757451005757,-0.031544238328933716,-10.465412235716258
140,1439.4866283704032,17.45471032232064,17.486214664280592,-0.03150434195995331,-10.513371629596804
141,1439.4413651381747,17.45522309819458,17.486700764095765,-0.03147766590118408,-10.55863486182534
142,1439.3997417502296,17.455737442108934,17.487201303574388,-0.0314638614654541,-10.600258249770377
143,1439.3625368735995,17.456240298997347,17.487702583919948,-0.031462284922599795,-10.637463126400462
144,1439.3303573956412,17.45671987284107,17.488191918024253,-0.031472045183181765,-10.669642604358842
145,1439.3036359512078,17.457165902356063,17.48865792403594,-0.03149202167987824,-10.696364048792248
146,1439.2826336068697,17.45756973555842,17.48909065953055,-0.03152092397212982,-10.717366393130305
147,1439.2674468673983,17.457924399024265,17.489481744414583,-0.031557345390319826,-10.732553132601652
148,1439.2580178561125,17.458224759222738,17.489824552060835,-0.03159979283809662,-10.741982143887526
149,1439.254147535874,17.458467438571127,17.490114181987913,-0.031646743416786194,-10.745852464126074
150,1439.2555121894814,17.45865071233565,17.49034738358313,-0.0316966712474823,-10.744487810518649
151,1439.2616807649542,17.458774514768322,17.49052261588355,-0.031748101115226746,-10.738319235045765
152,1439.2721341307679,17.458840264679406,17.490639888049575,-0.031799623370170595,-10.727865869232119
153,1439.2862845275422,17.458850717545488,17.490700653196313,-0.0318499356508255,-10.713715472457807
154,1439.3034958009682,17.458809812789266,17.490707679515186,-0.03189786672592163,-10.696504199031779
155,1439.3231031770329,17.458722533154106,17.490664924549673,-0.03194239139556885,-10.676896822967137
156,1439.3444320272838,17.45859459758986,17.490577240002047,-0.03198264241218567,-10.655567972716199
157,1439.3668159344031,17.458432372456265,17.490450309758856,-0.032017937302589415,-10.633184065596879
158,1439.3896126459865,17.45824244649996,17.49029020698656,-0.03204776048660279,-10.610387354013483
159,1439.4122182179376,17.458031853098102,17.490103631276316,-0.03207177817821503,-10.587781782062393
160,1439.434079705698,17.45780735612891,17.489897185573795,-0.032089829444885254,-10.565920294302032
161,1439.4547051408388,17.457575700689524,17.48967760305521,-0.03210190236568451,-10.545294859161231
162,1439.4736709983574,17.45734332412888,17.489451487962498,-0.03210816383361816,-10.52632900164258
163,1439.490627825246,17.457116077045637,17.489224974016384,-0.0321088969707489,-10.509372174753935
164,1439.5053032791864,17.456899313791794,17.48900381193976,-0.032104498147964476,-10.494696720813636
165,1439.517503012758,17.456697670897896,17.48879314490264,-0.03209547400474549,-10.48249698724203
166,1439.5271096583847,17.456515093115602,17.488597492841517,-0.032082399725914,-10.472890341615312
167,1439.5340802820915,17.456354773879788,17.488420695901652,-0.032065922021865846,-10.465919717908491
168,1439.538441451829,17.45621901646997,17.48826572195436,-0.03204670548439026,-10.46155854817107
169,1439.5402836135315,17.456109370551562,17.488134829960323,-0.032025459408760074,-10.459716386468472
170,1439.5397529627746,17.456026559171065,17.488029425439223,-0.03200286626815796,-10.460247037225372
171,1439.5370450614555,17.455970649468888,17.487950246083727,-0.031979596614837645,-10.462954938544499
172,1439.5323945737234,17.4559409721846,17.487897269343794,-0.03195629715919495,-10.467605426276577
173,1439.526067336266,17.45593631062052,17.48786985370657,-0.031933543086051945,-10.473932663734104
174,1439.5183513966408,17.45595481639729,17.487866690214734,-0.03191187381744385,-10.48164860335919
175,1439.5095473523086,17.455994267985833,17.4878860192752,-0.03189175128936768,-10.490452647691427
