temp,fuel,fan,action_fuel,action_fan
1402.4473047200931,16.091377070100002,1000.3591480911443,-0.0707320123910904,0.15479183197021484
1404.8055925384365,16.16838036131726,1000.7124143731108,-0.07068182528018951,0.15464137494564056
1407.0710125060402,16.2311629091154,1001.0821485184449,-0.07071836292743683,0.154790461063385
1409.242250091492,16.285601112721785,1001.4676877825927,-0.07073311507701874,0.15486808121204376
1411.3190063303762,16.33828717934674,1001.8550562206248,-0.07075333595275879,0.15493318438529968
1413.3009094552342,16.390864966755565,1002.2550568202121,-0.07076752185821533,0.15504176914691925
1415.1972267221042,16.411240995586144,1002.6554789655574,-0.07078016549348831,0.1551327109336853
1417.0171008648274,16.427223731803068,1003.0576063294908,-0.07078160345554352,0.15520253777503967
1418.7684134537733,16.442366759373634,1003.4570130840949,-0.07073820382356644,0.15522754192352295
1420.4579531527318,16.45601973235247,1003.8559723167743,-0.0707361027598381,0.1553141474723816
1422.091599396297,16.468148352022972,1004.2564950186293,-0.07073676586151123,0.15537340939044952
1423.6746224526173,16.47841464669159,1004.6581204898002,-0.07073427736759186,0.15540465712547302
1425.399924926609,16.488286889571487,1005.0595919521662,-0.07072741538286209,0.1554282009601593
1427.236787126861,16.498978708539482,1005.4605634782525,-0.07071670889854431,0.1554429978132248
1429.1538798172435,16.513030290035573,1005.8633296878058,-0.07071700692176819,0.15545758605003357
1431.1571233773202,16.447145110246314,1006.2316201870102,-0.0707068145275116,0.15545085072517395
1433.2464973702963,16.418082693910943,1006.6060098540563,-0.0706593245267868,0.15541571378707886
1435.427102554562,16.376284010568895,1006.9466486359004,-0.07061442732810974,0.15532392263412476
1437.6309255503722,16.33865385339478,1007.3466229734025,-0.07057705521583557,0.15528523921966553
1439.849709378569,16.294894442846907,1007.7515370119132,-0.07052430510520935,0.15522411465644836
1442.0839440216164,16.239138809444622,1008.0985794772223,-0.07047682255506516,0.15511533617973328
1444.32814085238,16.18153288831776,1008.4442149847519,-0.07041788846254349,0.15501299500465393
1446.5718761812202,16.124911820226416,1008.8764804120335,-0.0703572928905487,0.1548963189125061
1448.8044759504521,16.085395023812932,1009.244406749882,-0.07033205777406693,0.15479803085327148
1451.020919008421,16.028315503621876,1009.5241616977783,-0.0702701061964035,0.15465086698532104
1453.2124161886761,15.94820865670868,1009.9198165051915,-0.07021695375442505,0.1545487642288208
1455.3756035747067,15.866328316318292,1010.3055188225358,-0.07014770060777664,0.15439945459365845
1457.3305663959627,15.785535981505666,1010.6723513131213,-0.07008504122495651,0.15424975752830505
1459.1435607738467,15.708642564468011,1011.028133595255,-0.07003214955329895,0.15413424372673035
1460.775552849812,15.637211130447584,1011.3858608060593,-0.06997960805892944,0.15401381254196167
1462.2250012055504,15.572273313021299,1011.7457542138184,-0.06993190199136734,0.1538914442062378
1463.466938607312,15.4979766057589,1012.1235347037239,-0.0698840469121933,0.15377730131149292
1464.4709160395576,15.449189815918922,1012.5336678093983,-0.06985205411911011,0.1536877155303955
1465.2358175262373,15.417250967508915,1012.9395743352417,-0.06983763724565506,0.1535961925983429
1465.767905801246,15.38742873022884,1013.3473131195358,-0.06983079016208649,0.15353789925575256
1466.107084814929,15.359090211868683,1013.7603177055189,-0.06982439011335373,0.15350206196308136
1466.2206543369966,15.328829395100868,1014.1692899461922,-0.06982223689556122,0.15345874428749084
1466.0648347348301,15.298282742846126,1014.5896564410834,-0.06982387602329254,0.1534396857023239
1465.6393174903271,15.261772034618836,1014.9900709462862,-0.06983242928981781,0.15344813466072083
1464.9586671878901,15.240938513725455,1015.3392635283332,-0.06985072791576385,0.15347008407115936
1464.0811538857956,15.32304282337501,1015.7846163389033,-0.06986505538225174,0.15348875522613525
1463.023968955293,15.310563892667352,1016.109837496885,-0.06992853432893753,0.15357807278633118
1461.8379142269107,15.381846343967542,1016.4888562224318,-0.06997164338827133,0.1537158191204071
1460.513901337628,15.412013392589905,1016.8902375776661,-0.07002788037061691,0.1537526249885559
1459.116707834456,15.449558307077709,1017.2746154962978,-0.07010439038276672,0.15389186143875122
1457.6896732421699,15.487120886986395,1017.6486736224348,-0.07015343010425568,0.15403446555137634
1456.2428863829798,15.526410439023968,1018.0408542007619,-0.07022545486688614,0.1541392207145691
1454.7831755378002,15.564539319039854,1018.4375386094274,-0.07027087360620499,0.15426453948020935
1453.323045354365,15.632693531397873,1018.8212765684989,-0.0702894777059555,0.15437841415405273
1451.8574981233344,15.667840428664551,1019.2321420315498,-0.07038669288158417,0.15455298125743866
1450.3850369310094,15.730115577529032,1019.6017917165935,-0.0704106017947197,0.15464365482330322
1448.9288539758395,15.759704253336388,1020.0090919037096,-0.0704784020781517,0.15478205680847168
1447.7069700770244,15.81793221009917,1020.3663517860127,-0.07052741944789886,0.15488889813423157
1446.5118864086514,15.847349793050556,1020.7704055012496,-0.07056955248117447,0.1549851894378662
