step,temp,o2,fuel,fan,error
0,1450.0683430056545,2.74363130817585,18.49094835753752,935.4691958172174,0.06834300565446938
1,1450.0880025859346,2.685328869913066,18.48857850620226,922.9364206772341,0.08800258593464605
2,1450.091007430623,2.6061147801174767,18.486944983581555,912.5090446719282,0.09100743062299443
3,1450.0830322169775,2.5321733224819103,18.48112753789013,904.3112625905496,0.08303221697747176
4,1450.0425940557157,2.486309841996469,18.495096885724482,900.7931467009263,0.04259405571565367
5,1450.0649882349826,2.4562506535405553,18.50559978673012,899.8902978551663,0.06498823498259299
6,1450.0354991688303,2.445017435880051,18.51465880657705,900.5084961032941,0.03549916883025617
7,1449.9740487427152,2.4398602189713205,18.52337893205503,901.6671240887259,0.025951257284759777
8,1449.933349270712,2.4129813178553383,18.53217223684874,903.0580628863978,0.06665072928808513
9,1449.941451648458,2.381113444068042,18.540522059846527,905.7384627351246,0.058548351541958255
10,1449.8830458894975,2.379396113941715,18.54867536758995,909.9686478303461,0.11695411050254734
11,1449.8247444392575,2.363441726192184,18.557036310250766,914.1528166660137,0.17525556074247106
12,1449.824723528009,2.3425517445157746,18.565514056388654,919.0207380493255,0.17527647199108287
13,1449.7528621543295,2.3092740366022744,18.574076108263593,924.8302473150771,0.24713784567052244
14,1449.6986145297367,2.294195604158905,18.58304375742624,932.2033088470163,0.3013854702633125
15,1449.7356408350013,2.2733484486501276,18.592309793068132,940.1391635603461,0.2643591649987229
16,1449.7701854231236,2.238541830989325,18.601938078734193,948.9309975418114,0.22981457687637885
17,1449.7155677722164,2.217306122757054,18.611850682308045,959.3434129991748,0.2844322277835545
18,1449.7143755874363,2.2123444410574624,18.622297979102914,970.5777811783483,0.2856244125637204
19,1449.6763597464435,2.2291918079709077,18.63307231548156,981.7241689799237,0.32364025355650483
20,1449.6777614806192,2.222097264047225,18.65063925309198,991.705541121241,0.3222385193807895
21,1449.695185140792,2.200999767810024,18.673155112837648,1001.875244640023,0.30481485920790874
22,1449.6954411929134,2.1702883645427953,18.696705224707035,1012.9579176443225,0.3045588070865506
23,1449.695552190779,2.144426801765745,18.72132519798113,1025.5229451837888,0.30444780922107384
24,1449.7085795630564,2.1366945072213417,18.74662174559524,1039.3569532459803,0.2914204369435538
25,1449.7241409657402,2.128946986491705,18.767977281140254,1053.901571806161,0.27585903425983815
26,1449.7364543469191,2.1608287633428795,18.7699546533065,1068.2255118819792,0.2635456530808824
27,1449.7208101817057,2.1950307210929005,18.77642311857913,1079.7873869980408,0.2791898182942987
28,1449.7387414200107,2.1669689256246483,18.791412850583374,1089.2762461906054,0.2612585799893168
29,1449.7466048881763,2.1626046641758716,18.79897868713538,1098.970931395329,0.2533951118236928
30,1449.8146905830197,2.1266430082728136,18.813658441317283,1108.7079440856407,0.1853094169803171
31,1449.8527736906792,2.1320304720236316,18.83059127102428,1120.1449943330126,0.14722630932078573
32,1449.8962603662696,2.1287108217863104,18.846834967122152,1131.546997859496,0.10373963373035622
33,1449.8890500053935,2.121737724637332,18.86601652375559,1143.0027844019485,0.11094999460647159
34,1449.883238939753,2.110618038860219,18.87301577017731,1155.8897316680523,0.11676106024697219
35,1449.9498948931769,2.1078931401454537,18.866576050733283,1167.1099305345647,0.05010510682313907
36,1450.035789333678,2.132760910714254,18.86114529269339,1178.1489606977088,0.035789333677939794
37,1450.1004952584667,2.111669830892756,18.85645229934024,1187.5710894755412,0.10049525846670804
38,1450.0774921296445,2.0941134146982505,18.85104317553293,1198.0687673353432,0.07749212964449725
39,1450.0789949310483,2.0804289463502914,18.844484752266148,1210.2447884589146,0.078994931048328
40,1450.0682220181495,2.09612302147277,18.84467735527325,1224.1007458284296,0.06822201814952678
41,1450.0708753766087,2.0631993391800987,18.84568792242943,1236.202601340789,0.07087537660868293
42,1450.03397305051,2.062684384679579,18.84919002168634,1250.3116002730426,0.033973050509985114
43,1449.9909034349596,2.046691193945646,18.856257745029964,1262.9892533223308,0.009096565040408677
44,1449.9932759962153,2.045022582052212,18.85571139120165,1278.7530474202742,0.006724003784711385
45,1449.986185820838,2.043999959084606,18.866614220787056,1293.3656197187572,0.013814179161954598
46,1449.969966844258,2.0449318165907466,18.884147546460476,1308.1743292131987,0.03003315574210319
47,1449.9754794906491,2.0575607523644734,18.892033492919616,1321.1090236922478,0.02452050935085026
48,1449.9711160517911,2.110787271588679,18.906737631285512,1333.1889436197623,0.028883948208886068
49,1449.9789857479072,2.1058785111450526,18.90050115160531,1343.4631954208946,0.02101425209275476
50,1449.9794620573707,2.114327437476961,18.911191206755035,1354.0807526128854,0.02053794262928932
51,1449.9389219074267,2.1301578914652737,18.91725153349886,1364.0830352897508,0.06107809257332519
52,1449.8378349385655,2.1075818699608355,18.91915002127679,1376.5304435439532,0.16216506143450715
53,1449.746493109777,2.1054998131399523,18.921308237450248,1394.0458973931795,0.25350689022297956
54,1449.6860748754432,2.0735572700581293,18.921700881135052,1410.9431572081555,0.31392512455681754
55,1449.6401040698756,2.0211757980582896,18.92351390016102,1428.1094844465379,0.3598959301243667
56,1449.692471694096,1.9910173166301022,18.92587916782042,1451.165106701657,0.307528305904043
57,1449.7084101696503,1.9710138694081272,18.930807516769022,1466.4352607220671,0.2915898303497215
58,1449.694208822142,1.964180134857895,18.93429290029454,1480.9297294596538,0.30579117785805465
59,1449.7406707750038,1.9619173451423146,18.93791108818896,1494.425427953641,0.259329224996236
60,1449.7716869886233,1.9938490261617228,18.94367863133659,1506.8312078323147,0.2283130113767129
61,1449.7491720325017,1.999831349143674,18.949817832004925,1514.7174554077,0.2508279674982532
62,1449.7545905437873,1.9953357897098223,18.95747815044746,1522.658905409689,0.24540945621265564
63,1449.7215932957333,1.9912949746900326,18.96212976490294,1530.9329320240242,0.278406704266672
64,1449.7037200174282,1.989634139313675,18.96533214161724,1539.1674485577194,0.2962799825718321
65,1449.7095790181902,2.019570389161238,18.971336316007967,1547.372229552162,0.29042098180980247
66,1449.6960033340008,2.0553316429979107,18.98544872763375,1553.9742626800735,0.3039966659991933
67,1449.6757060238333,2.0606296899981524,18.983959007344527,1558.5940508774231,0.3242939761667003
68,1449.6767617170524,2.087057377824695,18.981711028100538,1563.0160475360913,0.3232382829476137
69,1449.692137213329,2.0793561414326276,18.99303026900172,1566.4610516998716,0.30786278667096667
70,1449.6554156441,2.0718135551485215,19.004659759318507,1570.2249194608137,0.3445843558999968
71,1449.6578612143478,2.0916767246323125,19.016679157479274,1574.2861959375546,0.342138785652196
72,1449.6984053683818,2.1023903403743893,19.02728531981251,1577.1429105898678,0.30159463161817257
73,1449.699459254653,2.1386102920918693,19.037913033644212,1579.41233358053,0.30054074534700703
74,1449.718049869982,2.157153604674873,19.050802970322703,1579.8148545857644,0.2819501300180036
75,1449.7282274424638,2.120111184992415,19.064316436870246,1579.277285841985,0.27177255753622376
76,1449.6777168533458,2.1030980885108974,19.075938740649082,1580.6361176812818,0.322283146654172
77,1449.6770614908041,2.125980741050865,19.086880496793928,1582.8244351780797,0.32293850919586475
78,1449.6355465551649,2.1790208673866163,19.099488458590912,1583.817418548836,0.3644534448351351
79,1449.6753468311176,2.2186460629180416,19.114193193197586,1582.1013039567092,0.32465316888237794
80,1449.6627799749767,2.2027170293802247,19.130214057920696,1578.3126998259415,0.33722002502327086
81,1449.6420360121874,2.2179243219113416,19.144173288402854,1575.5408264249595,0.35796398781258176
82,1449.6535561103078,2.2405045860878796,19.157874988414623,1572.0586050848085,0.346443889692182
83,1449.6606759712827,2.300102985775805,19.17145340733389,1567.467266973655,0.3393240287173285
