step,temperature,error
0,1404.0531052587767,-45.94689474122333
1,1407.6632951588026,-42.33670484119739
2,1411.092616089783,-38.90738391021705
3,1414.1980967751788,-35.80190322482122
4,1417.0496982325465,-32.95030176745354
5,1419.6281640769564,-30.37183592304359
6,1422.0468013789214,-27.953198621078627
7,1424.3445959021697,-25.655404097830342
8,1426.372380750527,-23.6276192494729
9,1428.25978453703,-21.7402154629699
10,1430.077334679997,-19.922665320003034
11,1431.727748164871,-18.272251835129055
12,1433.19198810168,-16.808011898320046
13,1434.553817458209,-15.446182541790904
14,1435.6851199923333,-14.314880007666716
15,1436.8684416114415,-13.13155838855846
16,1437.9387462187103,-12.061253781289679
17,1438.824599585721,-11.17540041427901
18,1439.7335151365821,-10.266484863417872
19,1440.5842507590628,-9.415749240937203
20,1441.2602572193066,-8.739742780693405
21,1441.9193467344278,-8.08065326557221
22,1442.49480800168,-7.505191998320015
23,1443.1375853153122,-6.862414684687792
24,1443.7451673935582,-6.254832606441823
25,1444.1713013938618,-5.828698606138232
26,1444.614104734674,-5.3858952653260985
27,1445.0820174825474,-4.917982517452629
28,1445.4573234904844,-4.542676509515559
29,1445.7530929976292,-4.24690700237079
30,1446.0945188892763,-3.905481110723713
31,1446.4709795799222,-3.5290204200778135
32,1446.7701675123144,-3.2298324876855986
33,1447.0425635206645,-2.957436479335456
34,1447.2917486134108,-2.708251386589154
35,1447.463352644268,-2.5366473557319296
36,1447.6464283688208,-2.353571631179193
37,1447.7841184146146,-2.215881585385432
38,1448.0104342557636,-1.9895657442364154
39,1448.1984554366863,-1.801544563313655
40,1448.3481217239043,-1.6518782760956583
41,1448.5364035632301,-1.4635964367698762
42,1448.736794535713,-1.2632054642870116
43,1448.815459209194,-1.184540790806068
44,1448.938774475294,-1.0612255247060602
45,1449.0551670780198,-0.9448329219801508
46,1449.142781298521,-0.8572187014790416
47,1449.1985209011948,-0.8014790988052027
48,1449.2665491105317,-0.7334508894682585
49,1449.3989065909882,-0.6010934090118099
50,1449.4942487077215,-0.5057512922785463
51,1449.4515725331307,-0.5484274668692706
52,1449.4667650290585,-0.5332349709415212
53,1449.5153666398292,-0.48463336017084657
54,1449.5703873255652,-0.429612674434793
55,1449.6419182977393,-0.35808170226073344
56,1449.7176417770224,-0.28235822297756386
57,1449.7486387842184,-0.25136121578157145
58,1449.7358792728824,-0.2641207271176427
59,1449.6997725051267,-0.3002274948732975
60,1449.7551307940798,-0.2448692059201676
61,1449.793792772339,-0.20620722766102517
62,1449.832875465709,-0.167124534290906
63,1449.892156456661,-0.10784354333895863
64,1449.9059802152335,-0.09401978476648765
65,1449.9277901051846,-0.07220989481538709
66,1449.8375335437759,-0.1624664562241378
67,1449.7914582812966,-0.20854171870337268
68,1449.7536391659914,-0.24636083400855568
69,1449.7719634664854,-0.22803653351456887
70,1449.825901535034,-0.17409846496593673
71,1449.8364279564819,-0.1635720435181156
72,1449.8458879761029,-0.15411202389714163
73,1449.9103304400464,-0.0896695599535633
74,1449.9171200378464,-0.08287996215358362
75,1449.8994509397132,-0.10054906028676669
76,1449.924347936088,-0.07565206391200263
77,1450.0131629071657,0.013162907165678916
78,1450.0335652388144,0.033565238814389886
79,1450.0227585176012,0.022758517601232597
80,1449.9382810110271,-0.06171898897287065
81,1450.0051953083241,0.0051953083241187414
82,1450.0410678297949,0.04106782979488344
83,1450.019500631847,0.01950063184699502
84,1450.097328550907,0.09732855090692283
85,1450.0099172865325,0.009917286532527214
86,1450.0692210425264,0.06922104252635108
87,1450.124784592985,0.12478459298495181
88,1450.1405694806551,0.14056948065513097
89,1450.1391453639394,0.1391453639394058
90,1450.1045569331825,0.1045569331824936
91,1450.1286597691253,0.1286597691253064
92,1450.1134826094028,0.11348260940280852
93,1450.094288728404,0.09428872840408076
94,1450.1300942608802,0.13009426088024156
95,1450.1413400208523,0.14134002085233988
96,1450.2157882351953,0.21578823519530488
97,1450.210090088511,0.21009008851092403
98,1450.2724915271942,0.27249152719423364
99,1450.253644987814,0.25364498781391376
100,1450.1826054407459,0.18260544074587415
101,1450.153773929054,0.1537739290540685
102,1450.0796957875893,0.07969578758934404
103,1450.0271428211158,0.027142821115830884
104,1450.0258097435503,0.025809743550325948
105,1449.9749575702215,-0.025042429778523
106,1449.9704044972898,-0.029595502710208166
107,1449.9126855238364,-0.08731447616355581
108,1449.8054520337112,-0.19454796628883742
109,1449.7937357969176,-0.20626420308235538
110,1449.784200039565,-0.2157999604351062
111,1449.7754898930489,-0.22451010695112927
