step,temp,fuel,fan,o2,reward
0,1402.309385620724,16.585135388423357,1001.8597131399414,2.932144424736613,-11.735641874140978
1,1404.234979675081,16.818863220282868,1011.636736230189,2.9128911954038643,-11.733329847070761
2,1405.8664425354177,17.097654534374392,1019.9893213221001,2.9144284458889183,-10.719637015081986
3,1407.263230384637,17.41647317777422,1026.5304004954974,2.9151104610328322,-9.865803319161067
4,1408.4211123872358,17.857553052983302,1032.1150885177542,2.8962723500944594,-9.194454662771587
5,1409.3706106166185,18.11803581575247,1037.0481319106045,2.8810651456164447,-8.646529347638253
6,1410.1451040718564,18.32743050478128,1041.3504619625073,2.8708692684464525,-8.208308128393462
7,1410.7712615459777,18.549129241475956,1044.7616952914832,2.8590077586918206,-7.861493282764693
8,1411.2603535755547,18.755710447257105,1047.8064816806605,2.8461225327940882,-7.618375561087708
9,1411.6238700253343,18.94290614167073,1050.5462529509473,2.8332680153525565,-7.431923256385663
10,1411.8757104513284,19.10650797598866,1052.969847669182,2.821363483775609,-7.298225493268395
11,1412.0292816008275,19.256513082113745,1055.0658970247655,2.8101144278713,-7.209901190188402
12,1413.2949362457055,19.406842303089338,1056.9200533286473,2.7986181350450163,-6.954711453551698
13,1414.848200920128,19.492783379189053,1063.2262242119532,2.8096188736750642,-6.860375427469874
14,1416.7981286119903,19.595305908871648,1070.1006789085757,2.8362599276302998,-6.43841848843173
15,1419.2112367506918,19.629859934536324,1078.5317114834786,2.8814987238125678,-5.985901320211587
16,1422.316677464757,19.660136112477193,1087.8670746276382,2.939647290433588,-5.378142745834168
17,1425.7396394424552,19.516790548730924,1096.7677602812714,3.014065302741356,-4.552444438028172
18,1429.5190279229437,19.043319884426253,1100.0,3.112172409620825,-3.773006409917191
19,1433.6983999874096,18.910223483728267,1100.0,3.196751525185971,-3.0911903980849593
20,1438.186003898951,18.78036048207023,1100.0,3.2713650228257336,-2.5319680768987425
21,1442.8628193357877,18.3598715610611,1100.0,3.36657838129773,-1.2398453709208506
22,1447.6293993567654,18.260137632688092,1100.0,3.447981524008987,-1.035871261073986
23,1452.3904044691258,18.026031112848795,1100.0,3.533499767588723,-1.051188298190271
24,1456.9649449922044,17.52256252771871,1100.0,3.6548142923616536,-1.2610937732258962
25,1461.1483116824556,17.330243848988502,1100.0,3.7691441966609323,-2.4756961607374555
26,1464.765619576065,16.906743193886733,1100.0,3.908758026265613,-2.843905064394167
27,1467.8649066772534,16.738273074360773,1100.0,4.0,-3.251317589210061
28,1470.9473589393374,16.420809126445967,1100.0,4.0,-3.83793974476081
29,1473.672711596743,16.137071533118796,1100.0,4.0,-4.370566233498418
30,1475.4019810197403,15.889685177017105,1100.0,4.0,-4.589325400907764
31,1476.8275499445247,15.710309762459135,1100.0,4.0,-4.890471673466315
32,1477.9632339476814,15.54109519177588,1100.0,4.0,-4.999704712301168
33,1478.245900829685,15.37574510856724,1100.0,4.0,-4.737334342459896
34,1478.3259171565653,15.219057071075001,1100.0,4.0,-4.26139206875945
35,1477.9446035323863,15.038227071249949,1100.0,4.0,-4.125909209009047
36,1476.584769034162,14.983196899648249,1100.0,4.0,-3.8353265784518276
37,1474.9777498668552,14.929961428875007,1096.9710454642693,4.0,-3.5998476373044204
38,1472.718410093761,14.866676139058969,1092.6060035670325,4.0,-3.2952026001477477
39,1470.3890900085448,15.057465015663674,1086.157678660482,4.0,-3.1274082219949375
40,1467.709412814775,15.251630569228976,1079.3656837857914,4.0,-2.7454284759516288
41,1464.778294357064,15.442783601247761,1071.785177477102,4.0,-2.5079536452722704
42,1461.6984640020644,15.640254022237427,1063.3741247246817,4.0,-2.2740906919983774
43,1458.6116321185596,15.822044568396564,1054.7785024424502,4.0,-1.1179837500090664
44,1455.5432985529999,15.978524849545785,1045.9747851477357,4.0,-0.9803876738654194
45,1452.678145969423,16.116682052320275,1037.084558140148,3.959770757173428,-0.7938954968238858
46,1450.2028088712107,16.212904323402807,1028.658108076618,3.8692952739617277,16.006374439964585
47,1448.0833964065268,16.244361111720938,1020.9658873161077,3.7513892925206282,2.1555493420115726
48,1446.500040751671,16.234966912666998,1013.9906246702367,3.620989947181638,-0.09354042126796464
49,1445.280623269744,16.199119743274995,1008.8550422161569,3.4954770369784427,0.2076606991276605
50,1444.2612515593066,16.180652721198125,1004.7214564098182,3.3773041220165005,0.3888745039172062
51,1443.8406402417909,16.152610825180275,1001.6702111175707,3.2728101364727644,0.5900583132647071
52,1443.875571580489,16.121683518799763,1000.9071441987154,3.19375081162125,0.8225423508684074
53,1444.2614785956785,16.08229688878203,1002.1422114378616,3.1478573170144823,0.7704647369979531
54,1444.9542153563614,16.043611058283826,1005.119368526464,3.1379820357392174,0.6642930431419002
55,1445.8809223655232,16.018466712529072,1009.5388995200042,3.1624118543274493,0.543549114101737
56,1446.9521578830122,16.013260230244484,1014.8253263920161,3.214953149453897,0.44769022037751055
57,1448.0772478857207,16.007786975809637,1020.6583874590654,3.2912448791255207,2.873326378645891
58,1449.09578095483,15.999628217672521,1026.7634539190913,3.3861554240151843,5.397789572159783
59,1449.8176462844426,16.034109859197397,1032.4790055151093,3.485420806642792,18.24832681056567
60,1450.155414860286,16.091138291904468,1037.0573656263048,3.5771999362419376,20.310820480945576
61,1450.127858919033,16.213616061147114,1040.165590599093,3.645691136810462,22.86971307574726
62,1449.8790435785015,16.312267760276658,1041.6180280009446,3.691073362585709,23.584579994252515
63,1449.4831296288053,16.391688283990565,1042.0418502359644,3.7164465802032023,9.023776253233875
64,1449.0141417700504,16.457132652406283,1041.7447154072854,3.7250566332712225,5.478809601721846
65,1448.5178778020918,16.52766865864208,1041.0959746056908,3.7186213562483834,3.997570822710297
66,1448.0202790079709,16.55616146294168,1040.3233018007766,3.7059403540295484,3.2150145627288773
67,1447.568825986767,16.59932850373718,1039.5517997715015,3.686582302876302,0.8008598832697844
68,1447.2016488053694,16.630618653454444,1038.9819385130002,3.6648613065960594,0.8085097189252588
69,1446.8966199435743,16.651825215239434,1038.800783237304,3.6447709560625166,0.8165069826672946
70,1446.6267540868287,16.673980420028176,1038.9370918717984,3.6274595491231674,0.8156402837774142
71,1446.462171694999,16.693707329640482,1039.2555071752606,3.6135205990076473,0.8312926684900722
72,1446.4164267756705,16.710741620661505,1040.0544609490996,3.604984596545375,0.8502242703600716
73,1446.583599007337,16.72740926926375,1041.4447344150144,3.6035715455092463,0.8219416241784447
74,1446.8504939428026,16.740681409044715,1043.8108167372052,3.612770398802747,0.7728706907000724
75,1447.133237707105,16.75731140162136,1046.6370593895078,3.631412120517994,0.751097203471692
76,1447.380628285509,16.78566357175958,1049.5576469296516,3.6555742305761427,0.7577036033653373
77,1447.5906257953334,16.806195776312848,1052.3509132062693,3.6838499182983218,0.7774106286877976
78,1447.6711627911313,16.828753927786796,1055.0127755384653,3.7139203122434954,0.8091017322016709
79,1447.685879999515,16.877358381055398,1057.080215911485,3.738994227073399,0.8469572676031827
80,1447.6363499098657,16.92683487671891,1058.866862237287,3.7588288214513668,0.844884117821411
81,1447.5307607980835,16.979109611959807,1060.3785198344679,3.773107865250762,0.8348544670050739
82,1447.399438042672,17.033764134430562,1061.6544339150996,3.7818861549620912,0.828167186281721
83,1447.2488527911387,17.068165705257144,1062.8182469645972,3.7886463033418014,0.8180786235817452
84,1447.0843056160465,17.103339689064473,1063.8931215491602,3.793393334176894,0.807451974994346
85,1446.91532108957,17.140720909858157,1064.9039189483096,3.796062025577458,0.7981703905515087
86,1446.7420306150395,17.17830993480685,1065.901289595877,3.7970615248887714,0.7879477153177775
87,1446.5790808417216,17.220974455626386,1066.8919442869628,3.796116168841576,0.7812051464482331
88,1446.4578620376635,17.273183212188215,1067.9348042838647,3.792690549222587,0.781900942426522
89,1446.3609267767938,17.327410648204896,1069.1741000062925,3.7878450047625103,0.7772425652915786
90,1446.2794594381294,17.35822816602574,1070.535083987454,3.7851986912200095,0.7730396503188519
91,1446.2566388851358,17.38913938439747,1071.964800072574,3.784339928594837,0.7811496575725687
92,1446.2787144199854,17.425100571969853,1073.6594886082605,3.784992481342509,0.7726828624512125
93,1446.332613772918,17.452184370887565,1075.5724606833312,3.788421082245878,0.7592277943272011
94,1446.4108255296592,17.48623678907228,1077.6514358653096,3.7934271967793847,0.7493822920524369
95,1446.4671145068198,17.530036189471843,1079.8531831556097,3.7986169525397377,0.7486914948745517
96,1446.507066352878,17.574248400160727,1081.9786843998284,3.803469480058584,0.7559179231590345
97,1446.5373943076495,17.61463415472242,1084.0538990615296,3.808194766863899,0.7601988249921205
98,1446.5595925128541,17.651552039208305,1086.0913237788873,3.8129524784453133,0.7631004641399922
99,1446.587276063802,17.69156016772304,1088.09622814778,3.8171251585104624,0.7632864683558962
100,1446.6357019189995,17.721954519984312,1090.1368652717388,3.8218989865333235,0.7585858234194456
101,1446.707629770338,17.762494029492434,1092.2794815229556,3.8260405094202357,0.7511405934727511
