Step,Target_Temp,Temperature,Fuel,Fan,O2,Efficiency,Error
0,1300.0,1450.0914669651222,18.49705955129343,950.0007828431608,3.092368856872607,0.9988196568876428,150.0914669651222
1,1300.0,1450.092965203657,18.525190230767212,950.0017283453319,2.997056303420781,0.9958193331476373,150.09296520365706
2,1300.0,1450.203039693281,18.553079609329025,950.0029267786709,2.9125921022845898,0.9916592794620055,150.20303969328097
3,1300.0,1450.4339536238222,18.5630338861589,950.0042247045259,2.838055042062679,0.9868531332790814,150.43395362382216
4,1300.0,1450.417056846499,18.521106568853117,950.0057126684319,2.7733518956755656,0.9818503120367291,150.417056846499
5,1300.0,1450.3984312455364,18.490363070287966,950.0073007315503,2.7170695967181646,0.9768959657665647,150.39843124553636
6,1300.0,1450.6320143868925,18.466615611550832,950.0089632443968,2.6680508991108534,0.9721430643475458,150.63201438689248
7,1300.0,1450.7503413584334,18.436390941582726,950.0107005474113,2.625565341000252,0.9677072870081157,150.7503413584334
8,1300.0,1450.6940386572983,18.42046474568965,950.0126094209763,2.5885234582130683,0.9636096803554125,150.69403865729828
9,1300.0,1450.778134519691,18.394173104771244,950.0146320447504,2.5564971512495016,0.9599005825592298,150.7781345196911
10,1300.0,1450.7201997779227,18.381230907103788,950.0167136818587,2.5285970376268296,0.9565481004194932,150.72019977792274
11,1300.0,1450.6609014946823,18.368885425695513,950.0184858000637,2.5043151463797413,0.9535415158352496,150.66090149468232
12,1300.0,1450.6997096051066,18.349589165590885,950.0205611837935,2.4833695043725488,0.9508835948820555,150.6997096051066
13,1300.0,1450.4364625024293,18.33078653016431,950.0224250933016,2.465349876864854,0.9485505325052952,150.43646250242932
14,1300.0,1450.1993998988555,18.34443710282982,950.0243286532881,2.449197122536813,0.9464235852735302,150.19939989885552
15,1300.0,1450.124680556927,18.334967815701248,950.0260747912246,2.435191496411867,0.944552746189935,150.12468055692693
16,1300.0,1449.9855740509477,18.32951763192082,950.0276618776278,2.4229875865016646,0.942902834606357,149.98557405094766
17,1300.0,1450.0312148439089,18.342422551857112,950.0288275725926,2.4119679347769925,0.9413975294078434,150.03121484390886
18,1300.0,1449.9048396998285,18.339474004859504,950.0302630008182,2.402336775264497,0.940070052726512,149.90483969982847
19,1300.0,1449.706932543434,18.35198562154881,950.031267302468,2.3935899060941783,0.9388550362221896,149.70693254343405
20,1300.0,1449.9113418955224,18.336813091904666,950.0324003302551,2.3862248828722428,0.9378251106984045,149.91134189552236
21,1300.0,1449.8781016148093,18.35447166123502,950.0336344327673,2.3793603096169758,0.9368595927822231,149.87810161480934
22,1300.0,1449.8853926558281,18.365802201385076,950.0346277690728,2.373074278671309,0.9359707837570854,149.88539265582813
23,1300.0,1449.6832550313407,18.380830887250653,950.0358154636353,2.367217791047737,0.9351387402883413,149.68325503134065
24,1300.0,1449.6037809191873,18.41523802122336,950.03715494429,2.361321458489813,0.9342972077916774,149.60378091918733
25,1300.0,1449.6154422075485,18.44771705092882,950.0384814041597,2.355435208937735,0.9334533222992016,149.61544220754854
26,1300.0,1449.4503770546723,18.482514899457062,950.0400039502186,2.3495119131887723,0.9326003408439765,149.45037705467234
27,1300.0,1449.4987016582802,18.44159657711218,950.0416643885743,2.345178337473778,0.9319739044524433,149.4987016582802
28,1300.0,1449.410078351678,18.405904075822786,950.0433878924616,2.342136186702636,0.931532956185379,149.41007835167807
29,1300.0,1449.3648285844195,18.39783355205251,950.0450624475554,2.3396357061598274,0.9311697886976048,149.36482858441946
30,1300.0,1449.2760472382186,18.37650025217969,950.0468067305094,2.337899725808774,0.9309172696646768,149.27604723821855
31,1300.0,1449.5310160609567,18.34995916893504,950.0485023796696,2.3369512835055866,0.9307791739326967,149.53101606095674
32,1300.0,1449.5244529556608,18.309105972381058,950.0499767916466,2.3370110839507046,0.9307878838190018,149.52445295566076
33,1300.0,1449.372046989127,18.280060230156174,950.0514563695655,2.337703327159313,0.9308886812319377,149.37204698912706
34,1300.0,1449.4831648435872,18.259439637075502,950.0530456130341,2.338768850133961,0.9310437337042162,149.48316484358725
35,1300.0,1449.3085022934233,18.252415205706093,950.0548738520866,2.3398638950451125,0.9312029579479713,149.30850229342332
36,1300.0,1449.3347089943688,18.238677889238406,950.0564007444123,2.3411331631127634,0.9313873571272684,149.33470899436884
37,1300.0,1449.0579609738604,18.2231855109192,950.0578910395434,2.3425951904138067,0.9315995498006966,149.05796097386042
38,1300.0,1448.8703684059608,18.218190370926234,950.0589854609037,2.3439939678498027,0.9318023511144271,148.8703684059608
