step,temp,fuel,o2,reward,residual_fuel
0,1398.7905169938656,15.96853638291359,4.192651206788302,-0.5152411917699851,-0.031463617086410524
1,1395.1162367484042,15.94961823374033,4.352171187505148,-0.5500921793072735,-0.018918149173259735
2,1389.6050376080427,15.969593353569508,4.481345204900521,-0.6078389508198165,0.019975119829177858
3,1382.8272605555503,16.004593087732793,4.584407720888903,-0.6732298558779075,0.0349997341632843
4,1377.4887283287287,18.567582747032205,4.4594714690414285,-0.7254963426373002,0.038835993409156805
5,1374.920610100621,19.515040733487574,4.279597475873367,-0.7519110935867434,0.027664047479629517
6,1374.861627879379,19.496261941463914,4.13363540435973,-0.7560280051565382,-0.018778792023658755
7,1376.547152459066,19.458448823363746,4.017036593729693,-0.7364319080169912,-0.037813118100166326
8,1379.360225581747,19.338795599706888,3.9312036304503013,-0.7067579678334619,-0.041415354609489446
9,1382.8365025666994,19.296259326108217,3.8642966648396837,-0.6717470662319238,-0.04253627359867096
10,1386.6822501032802,19.253308612473727,3.8129428853571876,-0.6332189429707796,-0.04295071363449097
11,1390.6857843757268,19.210212076075795,3.7743546351359796,-0.593156738519076,-0.04309653639793396
12,1394.4974546850606,19.167119086154226,3.7462338290909796,-0.5550258077970306,-0.043092989921569826
13,1398.1068338678551,19.12427600360704,3.7266759048398357,-0.518956652058887,-0.04284308254718781
14,1401.6951463409464,19.081730616458184,3.7141152159917024,-0.4830783061303691,-0.04254538714885712
15,1405.139481285375,18.344691532608056,3.7640462850684653,-0.4486219065471323,-0.04237819314002991
16,1423.953946524683,18.302637547012353,3.808426413414292,-0.2604929555076023,-0.04205398559570313
17,1446.5301961141222,18.258131301160837,3.8484551690688558,-0.03494326488435945,-0.044506245851516725
18,1466.4676596284062,18.213603883739495,3.88491752925727,-0.16467871344104423,-0.04452741742134095
19,1483.0091277014722,16.752256769309657,4.034237950802976,-0.33011051918219436,-0.04471983909606934
20,1495.1403291582676,16.707451430330888,4.1603421887718,-0.4514118415709459,-0.0448053389787674
21,1503.976578207823,16.663092527161258,4.2673726734732575,-0.5398104256591432,-0.04435890316963196
22,1508.9539158146092,15.744022245006466,4.4302440943861425,-0.5897130812212913,-0.04261967241764069
23,1510.556053249157,15.720240188436414,4.565742129197613,-0.6074442940763288,-0.0237820565700531
24,1509.432385662705,15.642897547525678,4.683170958358244,-0.5996418283334402,0.02939766049385071
25,1506.306888222437,15.683719028276716,4.776126666862987,-0.5642112642500888,0.0408214807510376
26,1501.7752888129273,15.726582456869398,4.848847548452282,-0.5179570829134378,0.042863428592681885
27,1492.4790802464286,15.770075662178312,4.90492440661766,-0.4248537801359089,0.043493205308914186
