time,avg_t_solid,exit_calcination
0.05,300.00363292984053,0.0
100.04999999999646,307.03369987896343,0.0
200.05000000001124,313.36372563151247,0.0
300.05000000003395,319.0813425548653,0.0
400.0500000000567,324.2707109388026,0.0
500.0500000000794,328.99792077789937,0.0
600.050000000002,333.31594730656144,0.0
700.049999999911,337.2680158003421,0.0
800.0499999998201,340.8899463762415,0.0
900.0499999997292,344.21182715363045,0.0
1000.0499999996382,347.2592339301664,0.0
1100.0499999995473,350.05413653483714,0.0
1200.0499999994563,352.6155841092297,0.0
1300.0499999993654,354.96023140193097,0.0
1400.0499999992744,357.10274872423764,0.0
1500.0499999991835,359.05614543253785,0.0
1600.0499999990925,360.83202829737104,0.0
1700.0499999990016,362.44081063488113,0.0
1800.0499999989106,363.8918852989051,0.0
1900.0499999988197,365.1937750401059,0.0
2000.0499999987287,366.35427780970366,0.0
2100.0499999988742,367.38063090025304,0.0
2200.049999999238,368.27972109269365,0.0
2300.049999999602,369.0583598455123,0.0
2400.0499999999656,369.72361705484315,0.0
2500.0500000003294,370.2831680594307,0.0
2600.050000000693,370.7455730029648,0.0
2700.050000001057,371.1203972279938,0.0
2800.050000001421,371.41810892821667,0.0
2900.0500000017846,371.6497493165654,0.0
3000.0500000021484,371.82643710473036,0.0
3100.050000002512,371.9588150109929,0.0
3200.050000002876,372.05655425175615,0.0
3300.05000000324,372.1280048032772,0.0
3400.0500000036036,372.18003058068007,0.0
3500.0500000039674,372.21801994097143,0.0
3600.050000004331,372.24602820662955,0.0
3700.050000004695,372.2669956830389,0.0
3800.050000005059,372.28298884885413,0.0
3900.0500000054226,372.295426647478,0.0
4000.0500000057864,372.30527060108903,0.0
4100.05000000615,372.3131716887295,0.0
4200.050000006514,372.3195763945743,0.0
4300.050000006878,372.32479909826117,0.0
4400.050000007242,372.32906925264314,0.0
4500.050000007605,372.3325610271879,0.0
4600.050000007969,372.3354114719398,0.0
4700.050000008333,372.33773153168363,0.0
4800.050000008697,372.3396127827726,0.0
4900.050000009061,372.34113168630506,0.0
5000.050000009424,372.3423524230448,0.0
5100.050000009788,372.3433289175567,0.0
5200.050000010152,372.34410638721573,0.0
5300.050000010516,372.3447225978619,0.0
5400.05000001088,372.3452089239581,0.0
5500.050000011243,372.3455912665581,0.0
5600.050000011607,372.3458908590716,0.0
5700.050000011971,372.346124978549,0.0
5800.050000012335,372.34630757370036,0.0
5900.050000012699,372.34644981732924,0.0
6000.050000013062,372.34656058902436,0.0
6100.050000013426,372.3466468930631,0.0
6200.05000001379,372.34671421623676,0.0
6300.050000014154,372.34676683038214,0.0
6400.0500000145175,372.3468080446792,0.0
6500.050000014881,372.3468404130377,0.0
6600.050000015245,372.3468659020856,0.0
6700.050000015609,372.3468860252784,0.0
6800.050000015973,372.34690194848696,0.0
6900.0500000163365,372.34691457206833,0.0
7000.0500000167,372.3469245939417,0.0
7100.050000017064,372.34693255761874,0.0
7200.050000017428,372.34693888853036,0.0
7300.050000017792,372.34694392139227,0.0
7400.0500000181555,372.34694792080495,0.0
7500.050000018519,372.3469510967972,0.0
7600.050000018883,372.3469536166161,0.0
7700.050000019247,372.34695561374133,0.0
7800.050000019611,372.3469571948396,0.0
7900.0500000199745,372.3469584451859,0.0
8000.050000020338,372.34695943293065,0.0
8100.050000020702,372.34696021248595,0.0
8200.05000002092,372.34696082723616,0.0
8300.050000019464,372.3469613117099,0.0
8400.050000018009,372.3469616933393,0.0
8500.050000016554,372.3469619938717,0.0
8600.050000015099,372.3469622305158,0.0
8700.050000013644,372.34696241686925,0.0
8800.050000012188,372.3469625636481,0.0
8900.050000010733,372.34696267929615,0.0
9000.050000009278,372.34696277045515,0.0
9100.050000007823,372.3469628423437,0.0
9200.050000006368,372.346962899064,0.0
9300.050000004912,372.3469629438379,0.0
9400.050000003457,372.3469629791979,0.0
9500.050000002002,372.34696300713324,0.0
9600.050000000547,372.3469630292094,0.0
9700.049999999092,372.346963046659,0.0
9800.049999997636,372.3469630604529,0.0
9900.049999996181,372.3469630713555,0.0
