time,t_solid_exit,t_gas_burner,calcination_pct
0.05,700.0119481202898,1800.0,0.0
100.04999999999646,721.682969724631,1800.0,0.0
200.05000000001124,739.798703087066,1800.0,0.0
300.05000000003395,755.2128030402148,1800.0,0.0
400.0500000000567,768.5241729026476,1800.0,0.0
500.0500000000794,780.1641848129693,1800.0,0.0
600.050000000002,790.4511686482182,1800.0,0.0
700.049999999911,799.625201219636,1800.0,0.0
800.0499999998201,807.8706154495558,1800.0,0.02275106626098422
900.0499999997292,815.3320699405012,1800.0,0.04784185097557181
1000.0499999996382,822.1242817455619,1800.0,0.0765103410596546
1100.0499999995473,828.3396536480531,1800.0,0.10971138498309108
1200.0499999994563,834.053546716565,1800.0,0.14778862481339416
1300.0499999993654,839.3281117662974,1800.0,0.19038681338564567
1400.0499999992744,844.2150687719062,1800.0,0.2371528745051532
