time,t_solid_exit,c_caco3,c_c3s,fuel_temp
0.05,1400.1095550991784,0.09981027873979556,0.0,2800.0
25.05000000000022,1450.1864624944412,0.02957334823497577,4.841564195147929e-10,2640.4569044979567
50.049999999999294,1504.7455608431203,0.0046356535387116595,3.2643409431539433e-09,2800.0
75.04999999999788,1546.1370646352261,0.00029037605628905476,1.2415653520195724e-08,2599.999974
100.04999999999646,1584.022408834719,7.392066854640446e-06,3.4331745320661614e-08,2599.999974
125.04999999999504,1621.2324531591125,7.963134812608597e-08,8.037802057669685e-08,2599.999974
150.04999999999987,1657.7428439239243,1.0289060060368945e-09,1.6951163568153797e-07,2599.999974
175.05000000000555,1693.530439023166,2.0504250324989977e-11,3.320664547807622e-07,2599.999974
200.05000000001124,1728.5731939682855,3.8333122480290977e-13,6.148680133079994e-07,2599.999974
225.05000000001692,1762.8503359305303,9.722733549658883e-15,1.0878957722982385e-06,2599.999974
250.0500000000226,1796.3425365047956,2.8811814279226974e-16,1.8526846861743607e-06,2599.999974
275.05000000002826,1829.0320723891882,9.26210886011755e-18,3.052594678341552e-06,2599.999974
300.05000000003395,1860.9029714350625,3.60175347593994e-19,4.884987315043602e-06,2599.999974
325.05000000003963,1891.9411418538184,1.5752390362685383e-20,7.615236980843055e-06,2599.999974
350.0500000000453,1922.1344826732104,7.531601863224387e-22,1.1592375411623803e-05,2599.999974
375.050000000051,1951.472973892063,4.07799316356952e-23,1.726603219121712e-05,2599.999974
400.0500000000567,1979.9487451778366,2.4420612536180077e-24,2.520420009672921e-05,2599.999974
425.05000000006237,2007.5561223737097,1.5795425880365915e-25,3.611123399643125e-05,2599.999974
450.05000000006805,2034.2916515173993,1.1136630607465878e-26,5.0845395948393205e-05,2599.999974
475.05000000007374,2060.1541005080803,8.53468024933537e-28,7.043519629900874e-05,2599.999974
500.0500000000794,2085.1444389777316,6.998395595481453e-29,9.609375759257827e-05,2599.999974
525.0500000000702,2109.2657973154683,6.114798125145423e-30,0.0001292304485455047,2599.999974
550.0500000000475,2132.523406147399,5.701200735450772e-31,0.00017145909936910583,2599.999974
575.0500000000247,2154.9245178807887,5.640790238337198e-32,0.00022460221411816028,2599.999974
600.050000000002,2176.4783121732553,5.878942772432621e-33,0.00029069073425163304,2599.999974
625.0499999999793,2197.195787380551,6.43872782717187e-34,0.000371959071585667,2599.999974
650.0499999999565,2217.0896401690557,7.404098839300808e-35,0.00047083530810160663,2599.999974
675.0499999999338,2236.174135551088,8.908431877467107e-36,0.0005899266437936388,2599.999974
700.049999999911,2254.4649696158613,1.1166669652033956e-36,0.0007320003512915398,2599.999974
725.0499999998883,2271.979127190403,1.454878676005406e-37,0.000899960657798783,2599.999974
750.0499999998656,2288.7347365793858,1.9679080170289007e-38,0.001096822113031638,2599.999974
775.0499999998428,2304.750923406937,2.7580859215380204e-39,0.0013256801105024144,2599.999974
800.0499999998201,2320.0476654253134,3.994465239479636e-40,0.0015896793051185091,2599.999974
825.0499999997974,2334.6456499724786,5.965048538934358e-41,0.0018919807114108759,2599.999974
850.0499999997746,2348.566135560236,9.17314257600603e-42,0.0022357282746060677,2599.999974
875.0499999997519,2361.8308188654723,1.4510017253332045e-42,0.0026240156838462318,2599.999974
900.0499999997292,2374.461708183743,2.3570594406893053e-43,0.00305985414715749,2599.999974
925.0499999997064,2386.4810041949017,3.9252841222028346e-44,0.0035461417762265,2599.999974
950.0499999996837,2397.9109886884116,6.692322292621359e-45,0.0040856351411324284,2599.999974
975.0499999996609,2408.7739217055,1.1669994237088141e-45,0.004680923456462914,2599.999974
1000.0499999996382,2419.091947380125,2.0794682801468852e-46,0.005334405756051888,2599.999974
1025.0499999996155,2428.887008602275,3.782145131333825e-47,0.006048271308745787,2599.999974
1050.0499999995927,2438.180770487088,7.01321903521057e-48,0.006824483426283444,2599.999974
1075.04999999957,2446.9945525120793,1.3245183162302924e-48,0.007664766719920398,2599.999974
1100.0499999995473,2455.3492690826433,2.5458308979976833e-49,0.008570597777369359,2599.999974
1125.0499999995245,2463.2653782018187,4.976635374263454e-50,0.009543199157682692,2599.999974
1150.0499999995018,2470.762837853845,9.886639850196484e-51,0.010583536539834843,2599.999974
1175.049999999479,2477.861069660376,1.9943998479847116e-51,0.01169231881128521,2599.999974
1200.0499999994563,2484.5789293322296,4.082205234289669e-52,0.012870000845472896,2599.999974
1225.0499999994336,2490.93468341662,8.472757006208334e-53,0.014116788691345387,2599.999974
1250.0499999994108,2496.9459918282105,1.7822759591935562e-53,0.015432646882662392,2599.999974
1275.049999999388,2502.6298956504857,3.797710614452615e-54,0.016817307568744097,2599.999974
1300.0499999993654,2508.002809700246,8.192613484361531e-55,0.018270281170230506,2599.999974
1325.0499999993426,2513.080519361194,1.7882458010899895e-55,0.019790868271927373,2599.999974
1350.0499999993199,2517.8781812107204,3.9473812941471975e-56,0.021378172478601024,2599.999974
1375.0499999992971,2522.410326986776,8.808007487587982e-57,0.023031113977387083,2599.999974
1400.0499999992744,2526.6908704669436,1.9859463930152782e-57,0.02474844357114351,2599.999974
1425.0499999992517,2530.7331168595215,4.522878606484955e-58,0.026528756969578477,2599.999974
1450.049999999229,2534.5497743351198,1.040029318313196e-58,0.028370509148429764,2599.999974
1475.0499999992062,2538.1529673564737,2.413689739318598e-59,0.030272028610623246,2599.999974
1500.0499999991835,2541.554251493609,5.651417932903308e-60,0.032231531406577946,2599.999974
1525.0499999991607,2544.76462943985,1.3345394905945566e-60,0.03424713479318566,2599.999974
1550.049999999138,2547.7945679723216,3.1774585130929664e-61,0.03631687043210362,2599.999974
1575.0499999991152,2550.6540156270594,7.625780415440411e-62,0.0384386970476137,2599.999974
1600.0499999990925,2553.352420884022,1.8442544559297158e-62,0.04061051248224519,2599.999974
1625.0499999990698,2555.8987506812678,4.493253073998236e-63,0.04283016510454999,2599.999974
1650.049999999047,2558.3015090995254,1.1025036970901547e-63,0.04509546453782509,2599.999974
1675.0499999990243,2560.568756078914,2.7237507195699338e-64,0.04740419169122471,2599.999974
1700.0499999990016,2562.7081260485515,6.7737120848903855e-65,0.04975410808565067,2599.999974
1725.0499999989788,2564.726846366709,1.6953941476868203e-65,0.052142964476145505,2599.999974
1750.049999998956,2566.6317554851735,4.2698398199466235e-66,0.05456850878034983,2599.999974
1775.0499999989333,2568.429320765322,1.0818261161641864e-66,0.05702849332903889,2599.999974
1800.0499999989106,2570.125655886183,2.756859543501629e-67,0.05952068145995927,2599.999974
1825.0499999988879,2571.7265377961407,7.064710737136769e-68,0.062042853480269174,2599.999974
1850.0499999988651,2573.2374231699123,1.8201952554849001e-68,0.06459281202597311,2599.999974
1875.0499999988424,2574.663464341351,4.714292813588803e-69,0.06716838684896762,2599.999974
1900.0499999988197,2576.009524690432,1.2272307358495831e-69,0.06976743906377714,2599.999974
1925.049999998797,2577.2801934696213,3.210571634768963e-70,0.07238786488688953,2599.999974
1950.0499999987742,2578.4798000606565,8.439507331940804e-71,0.07502759890188104,2599.999974
1975.0499999987514,2579.612427657971,2.2287496689357144e-71,0.07768461688335206,2599.999974
2000.0499999987287,2580.6819263792995,5.912201108072849e-72,0.08035693821215766,2599.999974
2025.049999998706,2581.6919258076873,1.5751506524092066e-72,0.08304262791357937,2599.999974
2050.0499999986923,2582.645846972259,4.2143298664913304e-73,0.08573979834901838,2599.999974
2075.0499999987833,2583.546913777726,1.1321947053346411e-73,0.08844661059054246,2599.999974
2100.0499999988742,2584.3981638946548,3.0538832131756174e-74,0.09116127550624768,2599.999974
2125.049999998965,2585.2024591242057,8.26937133392696e-75,0.09388205458292634,2599.999974
2150.049999999056,2585.962495252595,2.2476549563852827e-75,0.09660726051102432,2599.999974
2175.049999999147,2586.680811411317,6.13159612107005e-76,0.0993352575553254,2599.999974
2200.049999999238,2587.3597989600344,1.678643194239452e-76,0.10206446173325961,2599.999974
2225.049999999329,2588.0017099096517,4.611519796040992e-77,0.10479334082121292,2599.999974
2250.04999999942,2588.6086649032636,1.2711435934129625e-77,0.10752041420772636,2599.999974
2275.049999999511,2589.1826607728563,3.5154028637177417e-78,0.11024425261103475,2599.999974
2300.049999999602,2589.725577689781,9.753244622003619e-79,0.11296347767700465,2599.999974
2325.049999999693,2590.2391859266213,2.714426663032901e-79,0.11567676147221773,2599.999974
2350.0499999997837,2590.7251522481583,7.577449439083358e-80,0.11838282588568269,2599.999974
2375.0499999998747,2591.1850459485636,2.1215194553888206e-80,0.12108044195147942,2599.999974
2400.0499999999656,2591.620344551737,5.956857345179549e-81,0.12376842910352111,2599.999974
2425.0500000000566,2592.032439191213,1.6772774192730368e-81,0.12644565437258448,2599.999974
2450.0500000001475,2592.422639685569,4.735695936300241e-82,0.12911103153477854,2599.999974
2475.0500000002385,2592.792179324732,1.3406874895028804e-82,0.13176352021972884,2599.999974
